,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_market,S,F_calc,ts,age_cbid,age_cask,age_pbid,age_pask
28,2022-11-18,11000.0,,,0.001,0.002,,,52.6,69.5,,,1667973898.0,1667973898.0,18367.5,18386.15310578201,18362.548931393037,1667973901,,,3.0,3.0
26,2022-11-18,12000.0,,,0.002,0.003,,,51.7,112.2,,,1667973896.0,1667973896.0,18367.5,18386.15310578201,18362.548931393037,1667973901,,,5.0,5.0
29,2022-11-18,13000.0,,,0.0035,0.004,,,17.2,9.6,,,1667973896.0,1667973896.0,18367.5,18386.15310578201,18362.548931393037,1667973901,,,5.0,5.0
30,2022-11-18,14000.0,,,0.0055,0.0065,,,85.6,33.2,,,1667973898.0,1667973898.0,18367.5,18386.15310578201,18362.548931393037,1667973901,,,3.0,3.0
25,2022-11-18,15000.0,,,0.0095,0.01,,,6.4,12.9,,,1667973898.0,1667973898.0,18367.5,18386.15310578201,18362.548931393037,1667973901,,,3.0,3.0
27,2022-11-18,16000.0,,,0.015,0.016,,,17.0,83.8,,,1667973898.0,1667973898.0,18367.5,18386.15310578201,18362.548931393037,1667973901,,,3.0,3.0
5,2022-11-18,16500.0,0.101,,0.0195,0.02,4.0,,5.4,11.7,1667973892.0,,1667973898.0,1667973898.0,18367.5,18386.15310578201,18362.548931393037,1667973901,9.0,,3.0,3.0
8,2022-11-18,17000.0,0.085,0.1145,0.025,0.026,7.0,7.0,11.9,39.2,1667973898.0,1667973898.0,1667973898.0,1667973898.0,18367.5,18386.15310578201,18362.548931393037,1667973901,3.0,3.0,3.0,3.0
6,2022-11-18,17500.0,0.0785,0.081,0.032,0.033,25.7,12.7,13.0,18.7,1667973898.0,1667973898.0,1667973898.0,1667973898.0,18367.5,18386.15310578201,18362.548931393037,1667973901,3.0,3.0,3.0,3.0
0,2022-11-18,18000.0,0.061,0.0625,0.041,0.042,13.0,25.5,12.2,13.0,1667973898.0,1667973898.0,1667973898.0,1667973898.0,18367.5,18386.15310578201,18362.548931393037,1667973901,3.0,3.0,3.0,3.0
15,2022-11-18,18500.0,0.0455,0.0465,0.052,0.0535,0.6,13.2,10.8,8.5,1667973898.0,1667973898.0,1667973898.0,1667973898.0,18367.5,18386.15310578201,18362.548931393037,1667973901,3.0,3.0,3.0,3.0
9,2022-11-18,19000.0,0.0325,0.0335,0.065,0.0695,0.9,28.3,18.4,15.1,1667973899.0,1667973899.0,1667973898.0,1667973898.0,18367.5,18386.15310578201,18362.548931393037,1667973901,2.0,2.0,3.0,3.0
14,2022-11-18,19500.0,0.022,0.023,0.083,0.086,13.3,22.7,9.8,20.3,1667973898.0,1667973898.0,1667973898.0,1667973898.0,18367.5,18386.15310578201,18362.548931393037,1667973901,3.0,3.0,3.0,3.0
10,2022-11-18,20000.0,0.0145,0.0155,0.0955,0.118,22.5,23.5,35.8,4.0,1667973898.0,1667973898.0,1667973898.0,1667973898.0,18367.5,18386.15310578201,18362.548931393037,1667973901,3.0,3.0,3.0,3.0
7,2022-11-18,20500.0,0.009,0.01,0.1245,,57.9,12.2,4.0,,1667973898.0,1667973898.0,1667973892.0,,18367.5,18386.15310578201,18362.548931393037,1667973901,3.0,3.0,9.0,
4,2022-11-18,21000.0,0.006,0.0065,0.01,,22.1,6.3,0.3,,1667973898.0,1667973898.0,1667973899.0,,18367.5,18386.15310578201,18362.548931393037,1667973901,3.0,3.0,2.0,
12,2022-11-18,21500.0,0.0035,0.0045,0.01,,76.5,56.2,0.9,,1667973898.0,1667973898.0,1667973899.0,,18367.5,18386.15310578201,18362.548931393037,1667973901,3.0,3.0,2.0,
2,2022-11-18,22000.0,0.0025,0.003,,,13.8,55.7,,,1667973898.0,1667973898.0,,,18367.5,18386.15310578201,18362.548931393037,1667973901,3.0,3.0,,
1,2022-11-18,22500.0,0.0015,0.0025,,,60.4,57.6,,,1667973896.0,1667973896.0,,,18367.5,18386.15310578201,18362.548931393037,1667973901,5.0,5.0,,
3,2022-11-18,23000.0,0.001,0.002,,,21.3,69.2,,,1667973898.0,1667973898.0,,,18367.5,18386.15310578201,18362.548931393037,1667973901,3.0,3.0,,
11,2022-11-18,24000.0,0.0005,0.0015,,,113.2,83.0,,,1667973896.0,1667973896.0,,,18367.5,18386.15310578201,18362.548931393037,1667973901,5.0,5.0,,
13,2022-11-18,25000.0,0.0005,0.001,,,1.7,57.5,,,1667973896.0,1667973896.0,,,18367.5,18386.15310578201,18362.548931393037,1667973901,5.0,5.0,,
19,2022-11-18,26000.0,,0.0005,,,,3.0,,,,1667973896.0,,,18367.5,18386.15310578201,18362.548931393037,1667973901,,5.0,,
17,2022-11-18,27000.0,,0.0005,,,,3.0,,,,1667973896.0,,,18367.5,18386.15310578201,18362.548931393037,1667973901,,5.0,,
21,2022-11-18,28000.0,,0.0005,,,,40.0,,,,1667973896.0,,,18367.5,18386.15310578201,18362.548931393037,1667973901,,5.0,,
23,2022-11-18,29000.0,,0.0005,,,,40.1,,,,1667973896.0,,,18367.5,18386.15310578201,18362.548931393037,1667973901,,5.0,,
20,2022-11-18,30000.0,,0.0005,,,,40.1,,,,1667973896.0,,,18367.5,18386.15310578201,18362.548931393037,1667973901,,5.0,,
22,2022-11-18,31000.0,,0.0005,,,,40.0,,,,1667973896.0,,,18367.5,18386.15310578201,18362.548931393037,1667973901,,5.0,,
24,2022-11-18,32000.0,,0.0005,,,,40.1,,,,1667973896.0,,,18367.5,18386.15310578201,18362.548931393037,1667973901,,5.0,,
16,2022-11-18,33000.0,,0.0005,,,,40.1,,,,1667973896.0,,,18367.5,18386.15310578201,18362.548931393037,1667973901,,5.0,,
18,2022-11-18,34000.0,,0.0005,,,,40.1,,,,1667973896.0,,,18367.5,18386.15310578201,18362.548931393037,1667973901,,5.0,,
