,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_real,S,F,ts,age_cbid,age_cask,age_pbid,age_pask
12,2023-1-27,5000.0,0.7565,,0.0005,0.001,21.9,,20.0,2.8,1667549821,,1667558637.0,1667558637.0,,20602.307499347004,20653.982743737466,1667558641,8820,,4.0,4.0
23,2023-1-27,8000.0,0.6135,,0.002,0.0025,10.0,,3.7,2.0,1667549827,,1667558637.0,1667558637.0,,20602.307499347004,20653.982743737466,1667558641,8814,,4.0,4.0
17,2023-1-27,10000.0,0.5185,,0.004,0.0045,13.2,,6.6,3.8,1667549826,,1667558637.0,1667558637.0,,20602.307499347004,20653.982743737466,1667558641,8815,,4.0,4.0
15,2023-1-27,12000.0,0.416,,0.0075,0.008,38.5,,40.0,2.4,1667549829,,1667558638.0,1667558638.0,,20602.307499347004,20653.982743737466,1667558641,8812,,3.0,3.0
18,2023-1-27,14000.0,0.321,,0.014,0.0145,40.4,,35.9,5.3,1667549829,,1667558637.0,1667558637.0,,20602.307499347004,20653.982743737466,1667558641,8812,,4.0,4.0
10,2023-1-27,15000.0,0.2905,,0.019,0.02,20.2,,38.8,40.3,1667549831,,1667558635.0,1667558635.0,,20602.307499347004,20653.982743737466,1667558641,8810,,6.0,6.0
21,2023-1-27,16000.0,0.24,,0.026,0.027,40.1,,35.0,6.0,1667549830,,1667558637.0,1667558637.0,,20602.307499347004,20653.982743737466,1667558641,8811,,4.0,4.0
20,2023-1-27,17000.0,0.211,0.215,0.036,0.037,20.6,8.0,1.5,29.3,1667558637,1667558637.0,1667558637.0,1667558637.0,,20602.307499347004,20653.982743737466,1667558641,4,4.0,4.0,4.0
7,2023-1-27,18000.0,0.1755,0.1795,0.0485,0.0495,20.2,8.0,10.9,6.9,1667558637,1667558637.0,1667558635.0,1667558635.0,,20602.307499347004,20653.982743737466,1667558641,4,4.0,6.0,6.0
22,2023-1-27,19000.0,0.1435,0.148,0.065,0.066,20.0,20.4,0.9,6.9,1667558637,1667558637.0,1667558635.0,1667558635.0,,20602.307499347004,20653.982743737466,1667558641,4,4.0,6.0,6.0
5,2023-1-27,20000.0,0.1165,0.1185,0.0855,0.0865,33.5,8.0,0.6,7.2,1667558634,1667558634.0,1667558635.0,1667558635.0,,20602.307499347004,20653.982743737466,1667558641,7,7.0,6.0,6.0
8,2023-1-27,21000.0,0.0935,0.095,0.1095,0.1115,0.5,29.2,11.0,10.7,1667558634,1667558634.0,1667558635.0,1667558635.0,,20602.307499347004,20653.982743737466,1667558641,7,7.0,6.0,6.0
3,2023-1-27,22000.0,0.0735,0.075,0.137,0.1415,20.9,21.2,4.0,15.0,1667558635,1667558635.0,1667558637.0,1667558637.0,,20602.307499347004,20653.982743737466,1667558641,6,6.0,4.0,4.0
9,2023-1-27,23000.0,0.0575,0.059,0.1695,0.174,24.2,20.3,4.0,14.6,1667558633,1667558633.0,1667558635.0,1667558635.0,,20602.307499347004,20653.982743737466,1667558641,8,8.0,6.0,6.0
4,2023-1-27,24000.0,0.045,0.0465,0.205,0.2115,28.7,25.9,4.0,19.6,1667558635,1667558635.0,1667558635.0,1667558635.0,,20602.307499347004,20653.982743737466,1667558641,6,6.0,6.0,6.0
19,2023-1-27,25000.0,0.0355,0.0365,0.2435,0.2485,4.9,8.8,4.0,14.0,1667558637,1667558637.0,1667558635.0,1667558635.0,,20602.307499347004,20653.982743737466,1667558641,4,4.0,6.0,6.0
11,2023-1-27,26000.0,0.028,0.029,0.2835,0.2915,3.5,8.8,14.3,19.8,1667558637,1667558637.0,1667558635.0,1667558635.0,,20602.307499347004,20653.982743737466,1667558641,4,4.0,6.0,6.0
16,2023-1-27,28000.0,0.018,0.0185,,,5.8,5.0,,,1667558637,1667558637.0,,,,20602.307499347004,20653.982743737466,1667558641,4,4.0,,
13,2023-1-27,30000.0,0.0115,0.0125,,,43.6,45.1,,,1667558635,1667558635.0,,,,20602.307499347004,20653.982743737466,1667558641,6,6.0,,
14,2023-1-27,32000.0,0.008,0.009,,,7.0,114.5,,,1667558637,1667558637.0,,,,20602.307499347004,20653.982743737466,1667558641,4,4.0,,
6,2023-1-27,34000.0,0.0055,0.0065,,,56.6,57.3,,,1667558637,1667558637.0,,,,20602.307499347004,20653.982743737466,1667558641,4,4.0,,
2,2023-1-27,35000.0,0.0045,0.0055,,,65.0,50.3,,,1667558635,1667558635.0,,,,20602.307499347004,20653.982743737466,1667558641,6,6.0,,
0,2023-1-27,40000.0,0.002,0.0025,,,40.7,0.7,,,1667558635,1667558635.0,,,,20602.307499347004,20653.982743737466,1667558641,6,6.0,,
1,2023-1-27,45000.0,0.001,0.0015,,,4.2,9.1,,,1667558637,1667558637.0,,,,20602.307499347004,20653.982743737466,1667558641,4,4.0,,
