,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_market,S,F_calc,ts,age_cbid,age_cask,age_pbid,age_pask
24,2023-1-27,5000.0,,,0.001,0.002,,,14.2,24.1,,,1667973896.0,1667973896.0,,18386.15310578201,18406.294359720134,1667973901,,,5.0,5.0
23,2023-1-27,8000.0,,,0.0045,0.006,,,27.6,28.6,,,1667973899.0,1667973899.0,,18386.15310578201,18406.294359720134,1667973901,,,2.0,2.0
22,2023-1-27,10000.0,,,0.011,0.0115,,,10.0,4.4,,,1667973899.0,1667973899.0,,18386.15310578201,18406.294359720134,1667973901,,,2.0,2.0
21,2023-1-27,12000.0,,,0.0205,0.0215,,,11.5,25.8,,,1667973898.0,1667973898.0,,18386.15310578201,18406.294359720134,1667973901,,,3.0,3.0
20,2023-1-27,13000.0,,0.407,0.028,0.029,,0.2,9.9,24.8,,1667973897.0,1667973898.0,1667973898.0,,18386.15310578201,18406.294359720134,1667973901,,4.0,3.0,3.0
19,2023-1-27,14000.0,,0.378,0.0375,0.039,,48.6,26.9,22.8,,1667973898.0,1667973898.0,1667973898.0,,18386.15310578201,18406.294359720134,1667973901,,3.0,3.0,3.0
1,2023-1-27,15000.0,0.201,0.271,0.0505,0.052,42.3,42.2,9.1,23.7,1667973899.0,1667973899.0,1667973898.0,1667973898.0,,18386.15310578201,18406.294359720134,1667973901,2.0,2.0,3.0,3.0
11,2023-1-27,16000.0,0.1645,0.232,0.0665,0.068,8.0,8.0,12.6,9.9,1667973898.0,1667973898.0,1667973898.0,1667973898.0,,18386.15310578201,18406.294359720134,1667973901,3.0,3.0,3.0,3.0
14,2023-1-27,17000.0,0.162,,0.0865,0.0885,19.2,,9.2,19.9,1667973890.0,,1667973898.0,1667973898.0,,18386.15310578201,18406.294359720134,1667973901,11.0,,3.0,3.0
13,2023-1-27,18000.0,0.1325,0.135,0.1105,0.1125,8.0,21.5,9.0,9.6,1667973899.0,1667973899.0,1667973899.0,1667973899.0,,18386.15310578201,18406.294359720134,1667973901,2.0,2.0,2.0,2.0
8,2023-1-27,19000.0,0.1065,0.109,0.1385,0.141,27.0,25.4,8.0,6.7,1667973899.0,1667973899.0,1667973898.0,1667973898.0,,18386.15310578201,18406.294359720134,1667973901,2.0,2.0,3.0,3.0
5,2023-1-27,20000.0,0.0855,0.087,,0.214,0.8,23.1,,42.3,1667973898.0,1667973898.0,,1667973896.0,,18386.15310578201,18406.294359720134,1667973901,3.0,3.0,,5.0
7,2023-1-27,21000.0,0.0675,0.069,0.2075,,10.0,10.4,8.0,,1667973899.0,1667973899.0,1667973891.0,,,18386.15310578201,18406.294359720134,1667973901,2.0,2.0,10.0,
2,2023-1-27,22000.0,0.0535,0.0545,0.247,,9.1,11.5,7.0,,1667973898.0,1667973898.0,1667973892.0,,,18386.15310578201,18406.294359720134,1667973901,3.0,3.0,9.0,
15,2023-1-27,23000.0,0.042,0.043,0.2895,,14.3,7.3,6.0,,1667973898.0,1667973898.0,1667973892.0,,,18386.15310578201,18406.294359720134,1667973901,3.0,3.0,9.0,
4,2023-1-27,24000.0,0.033,0.034,0.304,0.3715,15.6,7.2,40.8,40.9,1667973899.0,1667973899.0,1667973899.0,1667973899.0,,18386.15310578201,18406.294359720134,1667973901,2.0,2.0,2.0,2.0
6,2023-1-27,25000.0,0.026,0.0275,0.3495,0.421,14.4,41.2,7.0,7.0,1667973898.0,1667973898.0,1667973898.0,1667973898.0,,18386.15310578201,18406.294359720134,1667973901,3.0,3.0,3.0,3.0
10,2023-1-27,26000.0,0.0205,0.022,,0.5725,25.2,35.1,,0.2,1667973899.0,1667973899.0,,1667973899.0,,18386.15310578201,18406.294359720134,1667973901,2.0,2.0,,2.0
3,2023-1-27,28000.0,0.0135,0.0145,,,15.8,24.3,,,1667973898.0,1667973898.0,,,,18386.15310578201,18406.294359720134,1667973901,3.0,3.0,,
12,2023-1-27,30000.0,0.009,0.01,,,10.1,26.7,,,1667973899.0,1667973899.0,,,,18386.15310578201,18406.294359720134,1667973901,2.0,2.0,,
9,2023-1-27,32000.0,0.006,0.007,,,18.6,23.8,,,1667973899.0,1667973899.0,,,,18386.15310578201,18406.294359720134,1667973901,2.0,2.0,,
17,2023-1-27,34000.0,0.004,0.005,,,41.4,6.4,,,1667973897.0,1667973897.0,,,,18386.15310578201,18406.294359720134,1667973901,4.0,4.0,,
0,2023-1-27,35000.0,0.0035,0.005,,,22.7,57.3,,,1667973899.0,1667973899.0,,,,18386.15310578201,18406.294359720134,1667973901,2.0,2.0,,
18,2023-1-27,40000.0,0.0015,0.0025,,,41.0,34.7,,,1667973896.0,1667973896.0,,,,18386.15310578201,18406.294359720134,1667973901,5.0,5.0,,
16,2023-1-27,45000.0,0.001,0.002,,,5.8,42.9,,,1667973897.0,1667973897.0,,,,18386.15310578201,18406.294359720134,1667973901,4.0,4.0,,
