,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_real,S,F,ts,age_cbid,age_cask,age_pbid,age_pask
17,2023-9-29,5000.0,0.7575,0.7785,0.007,0.0085,17.0,17.0,14.2,1.0,1667558518,1667558518.0,1667558518.0,1667558518.0,20778.0,20602.462616668618,21354.806475369507,1667558525,7,7.0,7.0,7.0
9,2023-9-29,10000.0,0.5295,0.5805,0.035,0.039,13.0,13.0,16.9,8.0,1667558518,1667558518.0,1667558518.0,1667558518.0,20778.0,20602.462616668618,21354.806475369507,1667558525,7,7.0,7.0,7.0
13,2023-9-29,13000.0,0.4095,0.4795,0.068,0.0705,13.0,13.0,18.0,9.0,1667558518,1667558518.0,1667558518.0,1667558518.0,20778.0,20602.462616668618,21354.806475369507,1667558525,7,7.0,7.0,7.0
10,2023-9-29,14000.0,0.3735,0.449,0.083,0.088,12.0,12.0,8.0,18.0,1667558518,1667558518.0,1667558518.0,1667558518.0,20778.0,20602.462616668618,21354.806475369507,1667558525,7,7.0,7.0,7.0
16,2023-9-29,15000.0,0.34,0.4205,0.1,0.105,12.0,12.0,0.1,18.0,1667558518,1667558518.0,1667558518.0,1667558518.0,20778.0,20602.462616668618,21354.806475369507,1667558525,7,7.0,7.0,7.0
0,2023-9-29,16000.0,0.3085,0.394,0.1185,0.124,12.0,12.0,8.0,17.0,1667558518,1667558518.0,1667558518.0,1667558518.0,20778.0,20602.462616668618,21354.806475369507,1667558525,7,7.0,7.0,7.0
15,2023-9-29,17000.0,0.2795,0.369,0.139,0.145,13.0,13.0,8.0,17.0,1667558518,1667558518.0,1667558518.0,1667558518.0,20778.0,20602.462616668618,21354.806475369507,1667558525,7,7.0,7.0,7.0
14,2023-9-29,18000.0,0.253,0.3455,0.1615,0.1675,13.0,13.0,8.0,8.0,1667558518,1667558518.0,1667558518.0,1667558518.0,20778.0,20602.462616668618,21354.806475369507,1667558525,7,7.0,7.0,7.0
18,2023-9-29,19000.0,0.2285,0.3235,0.184,0.197,13.0,13.0,8.0,19.0,1667558518,1667558518.0,1667558518.0,1667558518.0,20778.0,20602.462616668618,21354.806475369507,1667558525,7,7.0,7.0,7.0
1,2023-9-29,20000.0,0.206,0.2645,0.21,0.223,13.0,13.0,8.0,8.0,1667558518,1667558518.0,1667558518.0,1667558518.0,20778.0,20602.462616668618,21354.806475369507,1667558525,7,7.0,7.0,7.0
12,2023-9-29,21000.0,0.2175,0.2845,0.1915,0.298,13.0,13.0,8.0,8.0,1667558518,1667558518.0,1667558518.0,1667558518.0,20778.0,20602.462616668618,21354.806475369507,1667558525,7,7.0,7.0,7.0
3,2023-9-29,22000.0,0.214,0.22,0.217,0.33,8.0,17.0,8.0,10.0,1667558518,1667558518.0,1667558518.0,1667558518.0,20778.0,20602.462616668618,21354.806475369507,1667558525,7,7.0,7.0,7.0
5,2023-9-29,23000.0,0.197,0.203,0.305,0.3675,17.0,8.0,0.1,8.0,1667558518,1667558518.0,1667558518.0,1667558518.0,20778.0,20602.462616668618,21354.806475369507,1667558525,7,7.0,7.0,7.0
2,2023-9-29,24000.0,0.182,0.188,0.277,0.403,17.0,17.0,8.0,8.0,1667558518,1667558518.0,1667558518.0,1667558518.0,20778.0,20602.462616668618,21354.806475369507,1667558525,7,7.0,7.0,7.0
4,2023-9-29,25000.0,0.168,0.174,0.3095,0.4395,17.0,17.0,8.0,8.0,1667558518,1667558518.0,1667558518.0,1667558518.0,20778.0,20602.462616668618,21354.806475369507,1667558525,7,7.0,7.0,7.0
7,2023-9-29,30000.0,0.1155,0.1205,0.001,0.878,9.1,8.0,0.1,0.1,1667558518,1667558518.0,1667558518.0,1667558518.0,20778.0,20602.462616668618,21354.806475369507,1667558525,7,7.0,7.0,7.0
20,2023-9-29,35000.0,0.0825,0.087,0.0005,1.0815,8.0,8.0,0.1,0.1,1667558518,1667558518.0,1667558518.0,1667558518.0,20778.0,20602.462616668618,21354.806475369507,1667558525,7,7.0,7.0,7.0
8,2023-9-29,40000.0,0.0615,0.0655,0.001,,8.0,8.0,1.0,,1667558518,1667558518.0,1667558518.0,,20778.0,20602.462616668618,21354.806475369507,1667558525,7,7.0,7.0,
11,2023-9-29,45000.0,0.0475,0.051,,,8.0,9.0,,,1667558518,1667558518.0,,,20778.0,20602.462616668618,21354.806475369507,1667558525,7,7.0,,
19,2023-9-29,60000.0,0.0245,0.0275,,,20.0,8.0,,,1667558518,1667558518.0,,,20778.0,20602.462616668618,21354.806475369507,1667558525,7,7.0,,
6,2023-9-29,80000.0,0.0125,0.015,,,0.1,14.0,,,1667558518,1667558518.0,,,20778.0,20602.462616668618,21354.806475369507,1667558525,7,7.0,,
