,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_market,S,F_calc,ts,age_cbid,age_cask,age_pbid,age_pask
8,2023-9-29,5000.0,0.5,,0.008,0.0165,0.1,,10.1,10.0,1667973896.0,,1667973898.0,1667973898.0,18565.5,18386.15310578201,20902.851496590596,1667973901,5.0,,3.0,3.0
4,2023-9-29,10000.0,0.4,0.662,0.05,0.0615,0.1,0.2,7.0,7.0,1667973896.0,1667973896.0,1667973899.0,1667973899.0,18565.5,18386.15310578201,20902.851496590596,1667973901,5.0,5.0,2.0,2.0
17,2023-9-29,13000.0,,0.604,0.099,0.1125,,0.2,6.0,7.0,,1667973899.0,1667973899.0,1667973899.0,18565.5,18386.15310578201,20902.851496590596,1667973901,,2.0,2.0,2.0
19,2023-9-29,14000.0,,0.587,0.12,0.134,,0.2,6.0,7.0,,1667973896.0,1667973899.0,1667973899.0,18565.5,18386.15310578201,20902.851496590596,1667973901,,5.0,2.0,2.0
16,2023-9-29,15000.0,,0.571,0.146,0.158,,0.2,0.1,6.0,,1667973899.0,1667973899.0,1667973899.0,18565.5,18386.15310578201,20902.851496590596,1667973901,,2.0,2.0,2.0
18,2023-9-29,16000.0,,0.556,0.172,0.1835,,0.2,0.1,1.0,,1667973899.0,1667973899.0,1667973899.0,18565.5,18386.15310578201,20902.851496590596,1667973901,,2.0,2.0,2.0
20,2023-9-29,17000.0,,0.5415,0.0195,0.2865,,0.2,2.0,1.0,,1667973896.0,1667973899.0,1667973899.0,18565.5,18386.15310578201,20902.851496590596,1667973901,,5.0,2.0,2.0
15,2023-9-29,18000.0,,0.528,0.136,,,0.2,12.9,,,1667973899.0,1667973899.0,,18565.5,18386.15310578201,20902.851496590596,1667973901,,2.0,2.0,
14,2023-9-29,19000.0,0.2385,0.2535,0.0235,0.293,6.0,6.0,2.0,1.0,1667973898.0,1667973898.0,1667973897.0,1667973897.0,18565.5,18386.15310578201,20902.851496590596,1667973901,3.0,3.0,4.0,4.0
5,2023-9-29,20000.0,0.219,0.2335,,0.3645,6.0,14.0,,1.0,1667973899.0,1667973899.0,,1667973899.0,18565.5,18386.15310578201,20902.851496590596,1667973901,2.0,2.0,,2.0
7,2023-9-29,21000.0,0.201,0.2155,,0.4715,6.0,14.0,,1.0,1667973899.0,1667973899.0,,1667973899.0,18565.5,18386.15310578201,20902.851496590596,1667973901,2.0,2.0,,2.0
6,2023-9-29,22000.0,0.1845,0.199,0.2285,,14.0,14.0,8.0,,1667973899.0,1667973899.0,1667973891.0,,18565.5,18386.15310578201,20902.851496590596,1667973901,2.0,2.0,10.0,
2,2023-9-29,23000.0,0.1695,0.184,0.001,0.7075,14.0,14.0,0.6,0.2,1667973899.0,1667973899.0,1667973899.0,1667973899.0,18565.5,18386.15310578201,20902.851496590596,1667973901,2.0,2.0,2.0,2.0
1,2023-9-29,24000.0,0.1565,0.1705,,0.751,14.0,14.0,,0.2,1667973899.0,1667973899.0,,1667973899.0,18565.5,18386.15310578201,20902.851496590596,1667973901,2.0,2.0,,2.0
3,2023-9-29,25000.0,0.144,0.1585,,0.795,14.0,6.0,,0.2,1667973899.0,1667973899.0,,1667973899.0,18565.5,18386.15310578201,20902.851496590596,1667973901,2.0,2.0,,2.0
10,2023-9-29,30000.0,0.1015,0.1115,0.001,1.02,0.1,14.0,0.1,0.2,1667973899.0,1667973899.0,1667973898.0,1667973898.0,18565.5,18386.15310578201,20902.851496590596,1667973901,2.0,2.0,3.0,3.0
12,2023-9-29,35000.0,0.074,0.0825,0.0005,1.2535,0.6,7.0,0.1,0.2,1667973899.0,1667973899.0,1667973899.0,1667973899.0,18565.5,18386.15310578201,20902.851496590596,1667973901,2.0,2.0,2.0,2.0
11,2023-9-29,40000.0,0.0545,0.064,0.001,1.4915,0.1,7.0,1.0,0.2,1667973899.0,1667973899.0,1667973898.0,1667973898.0,18565.5,18386.15310578201,20902.851496590596,1667973901,2.0,2.0,3.0,3.0
13,2023-9-29,45000.0,0.042,0.051,,,0.1,8.0,,,1667973899.0,1667973899.0,,,18565.5,18386.15310578201,20902.851496590596,1667973901,2.0,2.0,,
0,2023-9-29,60000.0,0.023,0.029,,,0.2,8.0,,,1667973899.0,1667973899.0,,,18565.5,18386.15310578201,20902.851496590596,1667973901,2.0,2.0,,
9,2023-9-29,80000.0,0.012,0.016,,,13.7,10.7,,,1667973899.0,1667973899.0,,,18565.5,18386.15310578201,20902.851496590596,1667973901,2.0,2.0,,
