,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_real,S,F,ts,age_cbid,age_cask,age_pbid,age_pask
14,2022-12-30,5000.0,0.753,0.759,0.0005,0.001,16.0,16.0,58.5,78.0,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20648.0,20595.12196399694,21670.91471196572,1667558701,4.0,4.0,4.0,4.0
7,2022-12-30,10000.0,0.5065,0.52,0.002,0.0025,12.0,12.0,92.6,1.6,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20648.0,20595.12196399694,21670.91471196572,1667558701,4.0,4.0,4.0,4.0
9,2022-12-30,12000.0,0.4085,0.4255,0.004,0.0045,10.0,10.0,7.1,22.0,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20648.0,20595.12196399694,21670.91471196572,1667558701,4.0,4.0,4.0,4.0
24,2022-12-30,14000.0,0.3115,0.3325,0.0075,0.008,9.0,9.0,74.5,0.3,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20648.0,20595.12196399694,21670.91471196572,1667558701,4.0,4.0,4.0,4.0
3,2022-12-30,15000.0,0.2645,0.2875,0.011,0.0115,9.0,9.0,32.7,44.5,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20648.0,20595.12196399694,21670.91471196572,1667558701,4.0,4.0,4.0,4.0
10,2022-12-30,16000.0,0.2355,0.2435,0.015,0.016,9.0,9.0,38.2,30.2,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20648.0,20595.12196399694,21670.91471196572,1667558701,4.0,4.0,4.0,4.0
23,2022-12-30,17000.0,0.1745,0.202,0.022,0.0225,9.0,9.0,18.4,12.7,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20648.0,20595.12196399694,21670.91471196572,1667558701,4.0,4.0,4.0,4.0
4,2022-12-30,18000.0,0.1565,0.1635,0.031,0.0325,8.0,17.0,36.7,48.7,1667558698.0,1667558698.0,1667558697.0,1667558697.0,20648.0,20595.12196399694,21670.91471196572,1667558701,3.0,3.0,4.0,4.0
21,2022-12-30,19000.0,0.1225,0.129,0.045,0.046,8.0,18.0,18.0,16.9,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20648.0,20595.12196399694,21670.91471196572,1667558701,4.0,4.0,4.0,4.0
25,2022-12-30,20000.0,0.095,0.0965,0.0635,0.065,6.0,22.0,23.4,24.5,1667558697.0,1667558697.0,1667558696.0,1667558696.0,20648.0,20595.12196399694,21670.91471196572,1667558701,4.0,4.0,5.0,5.0
1,2022-12-30,21000.0,0.071,0.072,0.0875,0.089,2.3,10.7,11.9,0.9,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20648.0,20595.12196399694,21670.91471196572,1667558701,4.0,4.0,4.0,4.0
20,2022-12-30,22000.0,0.052,0.053,0.116,0.122,1.5,59.3,4.0,6.8,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20648.0,20595.12196399694,21670.91471196572,1667558701,4.0,4.0,4.0,4.0
