,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_market,S,F_calc,ts,age_cbid,age_cask,age_pbid,age_pask
20,2022-12-30,5000.0,0.0085,,0.0005,0.0015,1.0,,30.0,50.7,1667973896.0,,1667973896.0,1667973896.0,18394.5,18386.15310578201,18070.143428244002,1667973901,5.0,,5.0,5.0
17,2022-12-30,10000.0,0.0085,,0.0065,0.007,1.0,,16.2,37.4,1667973899.0,,1667973897.0,1667973897.0,18394.5,18386.15310578201,18070.143428244002,1667973901,2.0,,4.0,4.0
4,2022-12-30,12000.0,0.0085,,0.0135,0.014,1.0,,11.5,32.0,1667973899.0,,1667973898.0,1667973898.0,18394.5,18386.15310578201,18070.143428244002,1667973901,2.0,,3.0,3.0
3,2022-12-30,14000.0,0.0085,0.336,0.0265,0.0275,1.0,49.2,20.5,44.0,1667973897.0,1667973897.0,1667973898.0,1667973898.0,18394.5,18386.15310578201,18070.143428244002,1667973901,4.0,4.0,3.0,3.0
10,2022-12-30,15000.0,0.1975,0.2455,0.0365,0.0375,8.0,8.0,32.7,25.0,1667973898.0,1667973898.0,1667973898.0,1667973898.0,18394.5,18386.15310578201,18070.143428244002,1667973901,3.0,3.0,3.0,3.0
7,2022-12-30,16000.0,0.1585,0.2035,0.0505,0.0515,8.0,8.0,15.2,55.3,1667973898.0,1667973898.0,1667973898.0,1667973898.0,18394.5,18386.15310578201,18070.143428244002,1667973901,3.0,3.0,3.0,3.0
2,2022-12-30,17000.0,0.143,,0.068,0.069,18.2,,8.7,50.5,1667973891.0,,1667973898.0,1667973898.0,18394.5,18386.15310578201,18070.143428244002,1667973901,10.0,,3.0,3.0
18,2022-12-30,18000.0,0.1105,0.112,0.0895,0.091,19.1,5.0,16.0,28.7,1667973898.0,1667973898.0,1667973898.0,1667973898.0,18394.5,18386.15310578201,18070.143428244002,1667973901,3.0,3.0,3.0,3.0
5,2022-12-30,19000.0,0.0835,0.0845,0.1155,0.118,6.7,12.5,24.3,22.3,1667973899.0,1667973899.0,1667973899.0,1667973899.0,18394.5,18386.15310578201,18070.143428244002,1667973901,2.0,2.0,2.0,2.0
8,2022-12-30,20000.0,0.061,0.0625,0.148,0.1515,24.7,25.6,13.1,23.7,1667973898.0,1667973898.0,1667973898.0,1667973898.0,18394.5,18386.15310578201,18070.143428244002,1667973901,3.0,3.0,3.0,3.0
1,2022-12-30,21000.0,0.0435,0.045,0.1845,0.5,58.6,25.0,0.2,1.0,1667973898.0,1667973898.0,1667973899.0,1667973899.0,18394.5,18386.15310578201,18070.143428244002,1667973901,3.0,3.0,2.0,2.0
22,2022-12-30,22000.0,0.031,0.032,0.2265,0.2295,15.3,19.7,0.2,21.6,1667973898.0,1667973898.0,1667973898.0,1667973898.0,18394.5,18386.15310578201,18070.143428244002,1667973901,3.0,3.0,3.0,3.0
0,2022-12-30,23000.0,0.0215,0.0225,0.2705,,14.0,17.5,4.0,,1667973898.0,1667973898.0,1667973892.0,,18394.5,18386.15310578201,18070.143428244002,1667973901,3.0,3.0,9.0,
15,2022-12-30,24000.0,0.015,0.016,0.11,0.4345,39.1,15.4,0.3,49.6,1667973898.0,1667973898.0,1667973896.0,1667973896.0,18394.5,18386.15310578201,18070.143428244002,1667973901,3.0,3.0,5.0,5.0
23,2022-12-30,25000.0,0.0105,0.0115,0.2,0.477,23.4,33.4,0.4,48.4,1667973898.0,1667973898.0,1667973898.0,1667973898.0,18394.5,18386.15310578201,18070.143428244002,1667973901,3.0,3.0,3.0,3.0
25,2022-12-30,26000.0,0.0075,0.0085,,0.46,21.9,27.0,,42.1,1667973898.0,1667973898.0,,1667973899.0,18394.5,18386.15310578201,18070.143428244002,1667973901,3.0,3.0,,2.0
6,2022-12-30,27000.0,0.0055,0.0065,,,4.0,31.1,,,1667973898.0,1667973898.0,,,18394.5,18386.15310578201,18070.143428244002,1667973901,3.0,3.0,,
24,2022-12-30,28000.0,0.004,0.005,,0.8,11.9,25.5,,1.0,1667973898.0,1667973898.0,,1667973898.0,18394.5,18386.15310578201,18070.143428244002,1667973901,3.0,3.0,,3.0
21,2022-12-30,30000.0,0.002,0.003,,0.775,66.6,13.4,,30.0,1667973899.0,1667973899.0,,1667973898.0,18394.5,18386.15310578201,18070.143428244002,1667973901,2.0,2.0,,3.0
14,2022-12-30,32000.0,0.001,0.002,,,60.0,6.8,,,1667973896.0,1667973896.0,,,18394.5,18386.15310578201,18070.143428244002,1667973901,5.0,5.0,,
16,2022-12-30,34000.0,0.001,0.002,,,3.0,70.4,,,1667973896.0,1667973896.0,,,18394.5,18386.15310578201,18070.143428244002,1667973901,5.0,5.0,,
11,2022-12-30,35000.0,0.001,0.0015,,,0.5,42.3,,,1667973896.0,1667973896.0,,,18394.5,18386.15310578201,18070.143428244002,1667973901,5.0,5.0,,
9,2022-12-30,36000.0,0.0005,0.0015,,,30.2,35.0,,,1667973899.0,1667973899.0,,,18394.5,18386.15310578201,18070.143428244002,1667973901,2.0,2.0,,
12,2022-12-30,38000.0,0.0005,0.0015,0.0005,,25.0,50.0,0.1,,1667973896.0,1667973896.0,1667973897.0,,18394.5,18386.15310578201,18070.143428244002,1667973901,5.0,5.0,4.0,
19,2022-12-30,40000.0,0.0005,0.0015,0.0005,,52.1,50.0,3.1,,1667973896.0,1667973896.0,1667973897.0,,18394.5,18386.15310578201,18070.143428244002,1667973901,5.0,5.0,4.0,
13,2022-12-30,45000.0,0.0005,0.001,,,0.3,35.9,,,1667973896.0,1667973896.0,,,18394.5,18386.15310578201,18070.143428244002,1667973901,5.0,5.0,,
37,2022-12-30,50000.0,,0.001,,,,35.0,,,,1667973896.0,,,18394.5,18386.15310578201,18070.143428244002,1667973901,,5.0,,
32,2022-12-30,55000.0,,0.0005,,,,8.6,,,,1667973896.0,,,18394.5,18386.15310578201,18070.143428244002,1667973901,,5.0,,
36,2022-12-30,60000.0,,0.0005,,,,2.0,,,,1667973896.0,,,18394.5,18386.15310578201,18070.143428244002,1667973901,,5.0,,
34,2022-12-30,70000.0,,0.0005,,,,3.0,,,,1667973896.0,,,18394.5,18386.15310578201,18070.143428244002,1667973901,,5.0,,
33,2022-12-30,80000.0,,0.0005,,,,0.9,,,,1667973896.0,,,18394.5,18386.15310578201,18070.143428244002,1667973901,,5.0,,
31,2022-12-30,90000.0,,0.0005,,,,39.9,,,,1667973896.0,,,18394.5,18386.15310578201,18070.143428244002,1667973901,,5.0,,
26,2022-12-30,100000.0,,0.0005,,,,36.9,,,,1667973896.0,,,18394.5,18386.15310578201,18070.143428244002,1667973901,,5.0,,
35,2022-12-30,120000.0,,0.0005,,,,38.0,,,,1667973896.0,,,18394.5,18386.15310578201,18070.143428244002,1667973901,,5.0,,
30,2022-12-30,150000.0,,0.0005,,,,35.0,,,,1667973896.0,,,18394.5,18386.15310578201,18070.143428244002,1667973901,,5.0,,
29,2022-12-30,200000.0,,0.0005,,,,35.0,,,,1667973896.0,,,18394.5,18386.15310578201,18070.143428244002,1667973901,,5.0,,
27,2022-12-30,250000.0,,0.0005,0.0005,,,35.0,1.0,,,1667973896.0,1667973897.0,,18394.5,18386.15310578201,18070.143428244002,1667973901,,5.0,4.0,
28,2022-12-30,300000.0,,0.0005,0.0005,,,35.0,5.0,,,1667973896.0,1667973897.0,,18394.5,18386.15310578201,18070.143428244002,1667973901,,5.0,4.0,
