,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_real,S,F,ts,age_cbid,age_cask,age_pbid,age_pask
13,2023-6-30,5000.0,0.762,0.7665,0.0055,0.006,11.8,17.0,1.0,1.0,1667558518.0,1667558518.0,1667558518.0,1667558518.0,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,4.0,4.0
9,2023-6-30,10000.0,0.5385,0.5455,0.0245,0.025,16.5,24.3,21.0,0.1,1667558518.0,1667558518.0,1667558518.0,1667558518.0,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,4.0,4.0
17,2023-6-30,13000.0,0.418,0.426,0.049,0.0515,20.3,22.1,26.0,19.8,1667558518.0,1667558518.0,1667558518.0,1667558518.0,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,4.0,4.0
7,2023-6-30,14000.0,0.3815,0.39,0.061,0.0635,20.4,23.3,17.0,19.3,1667558518.0,1667558518.0,1667558518.0,1667558518.0,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,4.0,4.0
11,2023-6-30,15000.0,0.348,0.3555,0.0745,0.0775,19.6,12.0,35.8,18.2,1667558518.0,1667558518.0,1667558518.0,1667558518.0,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,4.0,4.0
3,2023-6-30,16000.0,0.316,0.3235,0.0905,0.0925,19.6,22.0,34.7,9.0,1667558518.0,1667558518.0,1667558518.0,1667558518.0,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,4.0,4.0
5,2023-6-30,17000.0,0.286,0.294,0.109,0.111,21.0,23.3,16.0,0.1,1667558518.0,1667558518.0,1667558517.0,1667558517.0,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,5.0,5.0
14,2023-6-30,18000.0,0.259,0.2665,0.1295,0.1335,17.5,23.5,23.0,19.4,1667558518.0,1667558518.0,1667558518.0,1667558518.0,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,4.0,4.0
18,2023-6-30,19000.0,0.234,0.241,0.1525,0.1565,16.6,13.2,15.0,18.6,1667558518.0,1667558518.0,1667558517.0,1667558517.0,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,5.0,5.0
21,2023-6-30,20000.0,0.211,0.2185,0.1775,0.182,16.5,13.4,15.0,33.3,1667558518.0,1667558518.0,1667558518.0,1667558518.0,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,4.0,4.0
16,2023-6-30,21000.0,0.1925,0.1965,0.204,0.2095,25.4,11.5,18.1,17.9,1667558518.0,1667558518.0,1667558518.0,1667558518.0,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,4.0,4.0
22,2023-6-30,22000.0,0.1735,0.1775,0.232,0.239,33.5,19.6,19.9,18.3,1667558518.0,1667558518.0,1667558518.0,1667558518.0,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,4.0,4.0
19,2023-6-30,23000.0,0.157,0.1605,0.2645,0.272,15.0,18.7,6.0,21.4,1667558518.0,1667558518.0,1667558518.0,1667558518.0,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,4.0,4.0
8,2023-6-30,24000.0,0.1415,0.145,0.2805,0.304,23.0,19.8,43.2,18.5,1667558518.0,1667558518.0,1667558518.0,1667558518.0,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,4.0,4.0
15,2023-6-30,25000.0,0.128,0.1315,0.3145,0.338,23.0,19.6,41.6,15.4,1667558518.0,1667558518.0,1667558518.0,1667558518.0,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,4.0,4.0
26,2023-6-30,26000.0,0.1155,0.119,0.3675,0.3745,35.2,19.6,5.0,15.7,1667558518.0,1667558518.0,1667558518.0,1667558518.0,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,4.0,4.0
24,2023-6-30,27000.0,0.105,0.1085,,0.6855,24.0,36.0,,0.1,1667558518.0,1667558518.0,,1667558518.0,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,,4.0
25,2023-6-30,28000.0,0.095,0.0985,0.4,0.724,35.0,20.1,2.0,0.1,1667558518.0,1667558518.0,1667558517.0,1667558517.0,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,5.0,5.0
4,2023-6-30,29000.0,0.0865,0.0895,,0.7625,36.1,8.0,,0.1,1667558518.0,1667558518.0,,1667558518.0,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,,4.0
0,2023-6-30,30000.0,0.079,0.082,,0.802,36.1,8.0,,0.1,1667558518.0,1667558518.0,,1667558518.0,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,,4.0
6,2023-6-30,35000.0,0.0515,0.054,,,38.3,8.0,,,1667558518.0,1667558518.0,,,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,,
10,2023-6-30,40000.0,0.036,0.038,0.0005,,10.0,8.0,1.0,,1667558518.0,1667558518.0,1667558518.0,,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,4.0,
1,2023-6-30,45000.0,0.026,0.028,,,30.6,18.5,,,1667558518.0,1667558518.0,,,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,,
23,2023-6-30,50000.0,0.0195,0.0215,,,38.0,20.9,,,1667558518.0,1667558518.0,,,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,,
12,2023-6-30,60000.0,0.012,0.0135,,,8.0,21.4,,,1667558518.0,1667558518.0,,,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,,
20,2023-6-30,80000.0,0.005,0.0065,,,11.9,36.0,,,1667558518.0,1667558518.0,,,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,,
2,2023-6-30,100000.0,0.0025,0.004,,,56.1,14.7,,,1667558518.0,1667558518.0,,,20750.0,20603.476338404053,20539.942564020253,1667558522,4.0,4.0,,
