,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_market,S,F_calc,ts,age_cbid,age_cask,age_pbid,age_pask
20,2023-6-30,5000.0,0.001,,0.006,0.0105,1.0,,16.0,16.0,1667973896.0,,1667973896.0,1667973896.0,18521.0,18386.15310578201,18000.118224010148,1667973901,5.0,,5.0,5.0
12,2023-6-30,10000.0,0.0005,0.56,0.0365,0.0435,1.0,40.7,13.0,13.0,1667973899.0,1667973899.0,1667973899.0,1667973899.0,18521.0,18386.15310578201,18000.118224010148,1667973901,2.0,2.0,2.0,2.0
25,2023-6-30,13000.0,,0.548,0.0765,0.0845,,43.6,11.0,11.0,,1667973899.0,1667973899.0,1667973899.0,18521.0,18386.15310578201,18000.118224010148,1667973901,,2.0,2.0,2.0
24,2023-6-30,14000.0,,0.528,0.0945,0.103,,43.9,11.0,11.0,,1667973897.0,1667973899.0,1667973899.0,18521.0,18386.15310578201,18000.118224010148,1667973901,,4.0,2.0,2.0
26,2023-6-30,15000.0,,0.509,0.115,0.124,,44.1,20.0,18.0,,1667973896.0,1667973899.0,1667973899.0,18521.0,18386.15310578201,18000.118224010148,1667973901,,5.0,2.0,2.0
23,2023-6-30,16000.0,,0.4915,0.1385,0.148,,44.3,10.0,18.0,,1667973898.0,1667973899.0,1667973899.0,18521.0,18386.15310578201,18000.118224010148,1667973901,,3.0,2.0,2.0
15,2023-6-30,17000.0,0.0005,0.475,0.1645,0.1745,10.0,44.5,10.0,18.0,1667973897.0,1667973897.0,1667973899.0,1667973899.0,18521.0,18386.15310578201,18000.118224010148,1667973901,4.0,4.0,2.0,2.0
22,2023-6-30,18000.0,0.0005,0.4595,0.1935,0.2035,10.0,44.7,10.0,18.0,1667973897.0,1667973897.0,1667973899.0,1667973899.0,18521.0,18386.15310578201,18000.118224010148,1667973901,4.0,4.0,2.0,2.0
11,2023-6-30,19000.0,0.1995,0.209,0.0255,0.3,10.0,10.0,20.0,0.1,1667973898.0,1667973898.0,1667973898.0,1667973898.0,18521.0,18386.15310578201,18000.118224010148,1667973901,3.0,3.0,3.0,3.0
21,2023-6-30,20000.0,0.179,0.1885,0.0305,0.281,18.0,18.0,10.0,21.4,1667973899.0,1667973899.0,1667973898.0,1667973898.0,18521.0,18386.15310578201,18000.118224010148,1667973901,2.0,2.0,3.0,3.0
9,2023-6-30,21000.0,0.1605,0.17,0.2,0.65,18.0,18.0,1.0,1.0,1667973899.0,1667973899.0,1667973896.0,1667973896.0,18521.0,18386.15310578201,18000.118224010148,1667973901,2.0,2.0,5.0,5.0
10,2023-6-30,22000.0,0.144,0.153,0.3035,,18.0,18.0,0.4,,1667973899.0,1667973899.0,1667973896.0,,18521.0,18386.15310578201,18000.118224010148,1667973901,2.0,2.0,5.0,
6,2023-6-30,23000.0,0.1295,0.1385,0.292,,10.0,18.0,40.5,,1667973899.0,1667973899.0,1667973893.0,,18521.0,18386.15310578201,18000.118224010148,1667973901,2.0,2.0,8.0,
13,2023-6-30,24000.0,0.1165,0.125,0.3255,,10.0,18.0,40.7,,1667973899.0,1667973899.0,1667973893.0,,18521.0,18386.15310578201,18000.118224010148,1667973901,2.0,2.0,8.0,
4,2023-6-30,25000.0,0.106,0.1135,,0.719,0.1,19.7,,44.2,1667973899.0,1667973899.0,,1667973898.0,18521.0,18386.15310578201,18000.118224010148,1667973901,2.0,2.0,,3.0
18,2023-6-30,26000.0,0.096,0.103,,0.7625,0.1,19.0,,44.1,1667973899.0,1667973899.0,,1667973898.0,18521.0,18386.15310578201,18000.118224010148,1667973901,2.0,2.0,,3.0
14,2023-6-30,27000.0,0.0865,0.0935,,0.8065,0.1,19.0,,44.1,1667973899.0,1667973899.0,,1667973898.0,18521.0,18386.15310578201,18000.118224010148,1667973901,2.0,2.0,,3.0
