,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_real,S,F,ts,age_cbid,age_cask,age_pbid,age_pask
17,2023-3-31,5000.0,0.758,0.7625,0.0015,0.0025,28.8,28.0,30.0,7.5,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,6.0,6.0
35,2023-3-31,10000.0,0.526,0.5315,0.012,0.0125,13.7,15.1,2.8,10.0,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,6.0,6.0
2,2023-3-31,11000.0,0.481,0.487,0.0155,0.0165,14.5,15.8,5.0,29.6,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,6.0,6.0
4,2023-3-31,12000.0,0.437,0.443,0.02,0.021,18.0,12.7,8.0,10.8,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,6.0,6.0
5,2023-3-31,13000.0,0.3945,0.401,0.026,0.027,19.5,12.2,10.0,10.0,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,6.0,6.0
11,2023-3-31,14000.0,0.3535,0.36,0.0335,0.035,20.6,10.9,29.0,26.9,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,6.0,6.0
13,2023-3-31,15000.0,0.3145,0.321,0.043,0.0445,21.4,10.0,18.4,25.4,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,6.0,6.0
28,2023-3-31,16000.0,0.2795,0.2845,0.0545,0.056,19.3,19.2,22.7,10.0,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,6.0,6.0
14,2023-3-31,17000.0,0.2455,0.2505,0.069,0.0705,18.4,19.9,1.1,19.0,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,6.0,6.0
26,2023-3-31,18000.0,0.214,0.2195,0.0855,0.0875,19.0,22.2,10.1,17.2,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,6.0,6.0
15,2023-3-31,19000.0,0.1855,0.191,0.1055,0.107,18.7,23.5,1.6,10.2,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,6.0,6.0
34,2023-3-31,20000.0,0.161,0.1635,0.1275,0.13,2.1,14.0,17.1,11.9,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,6.0,6.0
7,2023-3-31,21000.0,0.1385,0.14,0.153,0.1555,0.6,9.6,11.0,7.0,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,6.0,6.0
24,2023-3-31,22000.0,0.1185,0.1205,0.181,0.186,1.5,19.0,6.0,18.6,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,6.0,6.0
33,2023-3-31,23000.0,0.1015,0.103,0.212,0.2165,0.7,9.6,6.0,16.1,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,6.0,6.0
29,2023-3-31,24000.0,0.087,0.0885,0.2395,0.25,0.9,9.1,33.6,15.0,1667558697.0,1667558697.0,1667558698.0,1667558698.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,5.0,5.0
27,2023-3-31,25000.0,0.0745,0.0755,0.2815,0.287,1.1,48.2,5.0,16.8,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,6.0,6.0
21,2023-3-31,26000.0,0.064,0.0655,0.319,0.3245,4.2,9.8,4.0,14.5,1667558687.0,1667558687.0,1667558697.0,1667558697.0,20686.5,20595.56611746277,20685.831556279187,1667558703,16.0,16.0,6.0,6.0
8,2023-3-31,27000.0,0.0555,0.0565,0.358,0.3645,2.8,10.0,4.0,14.0,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,6.0,6.0
23,2023-3-31,28000.0,0.048,0.049,0.3975,0.406,4.0,9.0,16.2,15.7,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,6.0,6.0
30,2023-3-31,29000.0,0.042,0.043,0.441,0.4485,3.1,9.3,4.0,16.0,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,6.0,6.0
31,2023-3-31,30000.0,0.0365,0.0375,0.484,0.493,12.9,9.7,4.0,19.6,1667558697.0,1667558697.0,1667558697.0,1667558697.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,6.0,6.0
20,2023-3-31,32000.0,0.028,0.0295,,,40.4,55.9,,,1667558697.0,1667558697.0,,,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,,
0,2023-3-31,34000.0,0.0225,0.023,,,5.0,25.0,,,1667558697.0,1667558697.0,,,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,,
10,2023-3-31,35000.0,0.02,0.021,,,10.1,54.0,,,1667558697.0,1667558697.0,,,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,,
9,2023-3-31,36000.0,0.018,0.019,,,9.8,53.0,,,1667558697.0,1667558697.0,,,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,,
22,2023-3-31,38000.0,0.015,0.016,,,6.0,83.8,,,1667558692.0,1667558692.0,,,20686.5,20595.56611746277,20685.831556279187,1667558703,11.0,11.0,,
12,2023-3-31,40000.0,0.0125,0.013,0.09,1.955,6.2,4.0,1.0,0.1,1667558697.0,1667558697.0,1667558699.0,1667558699.0,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,4.0,4.0
1,2023-3-31,42000.0,0.01,0.011,,,7.3,8.0,,,1667558697.0,1667558697.0,,,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,,
16,2023-3-31,45000.0,0.008,0.009,,,4.0,93.7,,,1667558697.0,1667558697.0,,,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,,
18,2023-3-31,50000.0,0.005,0.0055,0.41,,5.9,0.2,0.2,,1667558697.0,1667558697.0,1667558698.0,,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,5.0,
25,2023-3-31,55000.0,0.0035,0.0045,,,4.2,30.8,,,1667558697.0,1667558697.0,,,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,,
3,2023-3-31,60000.0,0.0025,0.003,,,3.6,0.3,,,1667558697.0,1667558697.0,,,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,,
19,2023-3-31,65000.0,0.0015,0.0025,,,41.7,7.2,,,1667558697.0,1667558697.0,,,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,,
6,2023-3-31,70000.0,0.001,0.002,,,55.6,5.4,,,1667558697.0,1667558697.0,,,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,,
32,2023-3-31,80000.0,0.0005,0.0015,,,33.0,29.0,,,1667558697.0,1667558697.0,,,20686.5,20595.56611746277,20685.831556279187,1667558703,6.0,6.0,,
42,2023-3-31,100000.0,,0.001,,,,12.9,,,,1667558697.0,,,20686.5,20595.56611746277,20685.831556279187,1667558703,,6.0,,
38,2023-3-31,120000.0,,0.001,,,,21.9,,,,1667558697.0,,,20686.5,20595.56611746277,20685.831556279187,1667558703,,6.0,,
41,2023-3-31,140000.0,,0.001,,,,50.7,,,,1667558697.0,,,20686.5,20595.56611746277,20685.831556279187,1667558703,,6.0,,
39,2023-3-31,150000.0,,0.001,0.008,,,46.2,1.0,,,1667558697.0,1667558698.0,,20686.5,20595.56611746277,20685.831556279187,1667558703,,6.0,5.0,
40,2023-3-31,200000.0,,0.0005,,,,1.0,,,,1667558697.0,,,20686.5,20595.56611746277,20685.831556279187,1667558703,,6.0,,
37,2023-3-31,250000.0,,0.0005,,,,1.0,,,,1667558697.0,,,20686.5,20595.56611746277,20685.831556279187,1667558703,,6.0,,
36,2023-3-31,300000.0,,0.0005,0.0005,,,6.0,5.0,,,1667558697.0,1667558699.0,,20686.5,20595.56611746277,20685.831556279187,1667558703,,6.0,4.0,
