,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_market,S,F_calc,ts,age_cbid,age_cask,age_pbid,age_pask
19,2023-3-31,5000.0,0.0005,,0.003,0.0045,1.0,,2.4,3.8,1667973896.0,,1667973899.0,1667973899.0,18460.5,18386.15310578201,17870.368027608623,1667973901,5.0,,2.0,2.0
40,2023-3-31,10000.0,,,0.021,0.0225,,,5.3,14.5,,,1667973899.0,1667973899.0,18460.5,18386.15310578201,17870.368027608623,1667973901,,,2.0,2.0
38,2023-3-31,11000.0,,,0.0285,0.03,,,10.6,15.9,,,1667973899.0,1667973899.0,18460.5,18386.15310578201,17870.368027608623,1667973901,,,2.0,2.0
31,2023-3-31,12000.0,,0.5005,0.0375,0.039,,45.1,10.1,11.7,,1667973899.0,1667973899.0,1667973899.0,18460.5,18386.15310578201,17870.368027608623,1667973901,,2.0,2.0,2.0
34,2023-3-31,13000.0,,0.4745,0.0485,0.051,,45.7,10.8,8.1,,1667973898.0,1667973899.0,1667973899.0,18460.5,18386.15310578201,17870.368027608623,1667973901,,3.0,2.0,2.0
41,2023-3-31,14000.0,,,0.0625,0.066,,,11.2,25.2,,,1667973899.0,1667973899.0,18460.5,18386.15310578201,17870.368027608623,1667973901,,,2.0,2.0
30,2023-3-31,15000.0,,1.0,0.0795,0.082,,1.0,8.0,14.0,,1667973895.0,1667973899.0,1667973899.0,18460.5,18386.15310578201,17870.368027608623,1667973901,,6.0,2.0,2.0
42,2023-3-31,16000.0,,,0.099,0.102,,,2.4,13.7,,,1667973899.0,1667973899.0,18460.5,18386.15310578201,17870.368027608623,1667973901,,,2.0,2.0
39,2023-3-31,17000.0,,,0.1215,0.126,,,3.1,20.1,,,1667973895.0,1667973895.0,18460.5,18386.15310578201,17870.368027608623,1667973901,,,6.0,6.0
8,2023-3-31,18000.0,0.1715,0.1785,0.1475,0.1525,12.8,12.6,2.2,21.6,1667973899.0,1667973899.0,1667973899.0,1667973899.0,18460.5,18386.15310578201,17870.368027608623,1667973901,2.0,2.0,2.0,2.0
23,2023-3-31,19000.0,0.1475,0.1515,0.1745,0.1825,11.7,12.8,26.7,13.0,1667973899.0,1667973899.0,1667973899.0,1667973899.0,18460.5,18386.15310578201,17870.368027608623,1667973901,2.0,2.0,2.0,2.0
22,2023-3-31,20000.0,0.127,0.13,0.1205,0.4,1.5,14.1,10.0,1.0,1667973899.0,1667973899.0,1667973899.0,1667973899.0,18460.5,18386.15310578201,17870.368027608623,1667973901,2.0,2.0,2.0,2.0
24,2023-3-31,21000.0,0.1085,0.1115,0.245,,9.6,14.1,8.0,,1667973899.0,1667973899.0,1667973891.0,,18460.5,18386.15310578201,17870.368027608623,1667973901,2.0,2.0,10.0,
20,2023-3-31,22000.0,0.092,0.095,0.279,,3.3,9.7,15.0,,1667973899.0,1667973899.0,1667973893.0,,18460.5,18386.15310578201,17870.368027608623,1667973901,2.0,2.0,8.0,
26,2023-3-31,23000.0,0.0795,0.0815,0.32,,9.3,9.6,13.7,,1667973899.0,1667973899.0,1667973893.0,,18460.5,18386.15310578201,17870.368027608623,1667973901,2.0,2.0,8.0,
25,2023-3-31,24000.0,0.068,0.07,,0.55,10.0,10.1,,2.0,1667973899.0,1667973899.0,,1667973895.0,18460.5,18386.15310578201,17870.368027608623,1667973901,2.0,2.0,,6.0
2,2023-3-31,25000.0,0.0585,0.0605,0.3,0.6,8.9,10.7,1.0,1.0,1667973899.0,1667973899.0,1667973895.0,1667973895.0,18460.5,18386.15310578201,17870.368027608623,1667973901,2.0,2.0,6.0,6.0
18,2023-3-31,26000.0,0.0505,0.0525,0.4505,,0.1,22.7,16.9,,1667973899.0,1667973899.0,1667973894.0,,18460.5,18386.15310578201,17870.368027608623,1667973901,2.0,2.0,7.0,
3,2023-3-31,27000.0,0.043,0.046,0.5005,,1.6,8.4,12.4,,1667973897.0,1667973897.0,1667973893.0,,18460.5,18386.15310578201,17870.368027608623,1667973901,4.0,4.0,8.0,
0,2023-3-31,28000.0,0.0375,0.0395,0.545,,9.6,11.8,18.3,,1667973899.0,1667973899.0,1667973893.0,,18460.5,18386.15310578201,17870.368027608623,1667973901,2.0,2.0,8.0,
1,2023-3-31,29000.0,0.0325,0.035,0.599,,10.8,7.1,10.5,,1667973899.0,1667973899.0,1667973893.0,,18460.5,18386.15310578201,17870.368027608623,1667973901,2.0,2.0,8.0,
6,2023-3-31,30000.0,0.0285,0.0305,0.41,0.73,10.0,3.7,47.4,41.5,1667973899.0,1667973899.0,1667973897.0,1667973897.0,18460.5,18386.15310578201,17870.368027608623,1667973901,2.0,2.0,4.0,4.0
9,2023-3-31,32000.0,0.022,0.024,,0.9335,2.5,8.0,,44.9,1667973899.0,1667973899.0,,1667973898.0,18460.5,18386.15310578201,17870.368027608623,1667973901,2.0,2.0,,3.0
7,2023-3-31,34000.0,0.0175,0.019,,,10.2,10.9,,,1667973899.0,1667973899.0,,,18460.5,18386.15310578201,17870.368027608623,1667973901,2.0,2.0,,
10,2023-3-31,35000.0,0.0155,0.0175,,,3.9,8.1,,,1667973899.0,1667973899.0,,,18460.5,18386.15310578201,17870.368027608623,1667973901,2.0,2.0,,
13,2023-3-31,36000.0,0.014,0.016,,,8.0,8.9,,,1667973899.0,1667973899.0,,,18460.5,18386.15310578201,17870.368027608623,1667973901,2.0,2.0,,
12,2023-3-31,38000.0,0.0115,0.0135,,,11.7,2.4,,,1667973899.0,1667973899.0,,,18460.5,18386.15310578201,17870.368027608623,1667973901,2.0,2.0,,
11,2023-3-31,40000.0,0.0095,0.011,0.09,1.955,4.9,4.2,1.0,0.1,1667973899.0,1667973899.0,1667973897.0,1667973897.0,18460.5,18386.15310578201,17870.368027608623,1667973901,2.0,2.0,4.0,4.0
4,2023-3-31,42000.0,0.008,0.0095,,,2.4,3.7,,,1667973899.0,1667973899.0,,,18460.5,18386.15310578201,17870.368027608623,1667973901,2.0,2.0,,
5,2023-3-31,45000.0,0.0055,0.0075,,,13.9,4.5,,,1667973896.0,1667973896.0,,,18460.5,18386.15310578201,17870.368027608623,1667973901,5.0,5.0,,
27,2023-3-31,50000.0,0.005,0.006,0.41,,2.0,23.9,0.2,,1667973896.0,1667973896.0,1667973899.0,,18460.5,18386.15310578201,17870.368027608623,1667973901,5.0,5.0,2.0,
21,2023-3-31,55000.0,0.003,0.0045,,,4.4,21.0,,,1667973896.0,1667973896.0,,,18460.5,18386.15310578201,17870.368027608623,1667973901,5.0,5.0,,
17,2023-3-31,60000.0,0.002,0.0035,,,4.4,24.1,,,1667973899.0,1667973899.0,,,18460.5,18386.15310578201,17870.368027608623,1667973901,2.0,2.0,,
16,2023-3-31,65000.0,0.0015,0.003,,,3.7,2.4,,,1667973896.0,1667973896.0,,,18460.5,18386.15310578201,17870.368027608623,1667973901,5.0,5.0,,
14,2023-3-31,70000.0,0.001,0.0025,,,28.1,4.4,,,1667973896.0,1667973896.0,,,18460.5,18386.15310578201,17870.368027608623,1667973901,5.0,5.0,,
15,2023-3-31,80000.0,0.001,0.002,,,5.0,4.5,,,1667973896.0,1667973896.0,,,18460.5,18386.15310578201,17870.368027608623,1667973901,5.0,5.0,,
36,2023-3-31,100000.0,,0.002,,,,31.6,,,,1667973896.0,,,18460.5,18386.15310578201,17870.368027608623,1667973901,,5.0,,
35,2023-3-31,120000.0,,0.001,,,,5.0,,,,1667973896.0,,,18460.5,18386.15310578201,17870.368027608623,1667973901,,5.0,,
29,2023-3-31,140000.0,,0.001,,,,5.0,,,,1667973896.0,,,18460.5,18386.15310578201,17870.368027608623,1667973901,,5.0,,
32,2023-3-31,150000.0,,0.0015,0.008,,,31.7,1.0,,,1667973896.0,1667973898.0,,18460.5,18386.15310578201,17870.368027608623,1667973901,,5.0,3.0,
37,2023-3-31,200000.0,,0.0015,,,,32.6,,,,1667973896.0,,,18460.5,18386.15310578201,17870.368027608623,1667973901,,5.0,,
28,2023-3-31,250000.0,,0.0015,,,,33.0,,,,1667973896.0,,,18460.5,18386.15310578201,17870.368027608623,1667973901,,5.0,,
33,2023-3-31,300000.0,,0.0005,0.0005,,,5.0,5.0,,,1667973896.0,1667973898.0,,18460.5,18386.15310578201,17870.368027608623,1667973901,,5.0,3.0,
