,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_real,S,F,ts,age_cbid,age_cask,age_pbid,age_pask
8,2022-11-5,16000.0,0.2,,,0.0005,6.0,,,44.1,1667549708.0,,,1667558757.0,,20598.160941441198,20603.127270793826,1667558761,9053.0,,,4.0
9,2022-11-5,17000.0,0.15,,,0.0005,6.0,,,34.1,1667549713.0,,,1667558757.0,,20598.160941441198,20603.127270793826,1667558761,9048.0,,,4.0
6,2022-11-5,18000.0,0.1,,,0.0005,5.0,,,52.9,1667549705.0,,,1667558757.0,,20598.160941441198,20603.127270793826,1667558761,9056.0,,,4.0
11,2022-11-5,18500.0,0.075,,,0.0005,5.0,,,84.6,1667549712.0,,,1667558757.0,,20598.160941441198,20603.127270793826,1667558761,9049.0,,,4.0
10,2022-11-5,19000.0,0.0495,,,0.0005,5.0,,,66.5,1667549713.0,,,1667558757.0,,20598.160941441198,20603.127270793826,1667558761,9048.0,,,4.0
7,2022-11-5,19500.0,0.0245,,,0.0005,5.0,,,50.0,1667549717.0,,,1667558757.0,,20598.160941441198,20603.127270793826,1667558761,9044.0,,,4.0
1,2022-11-5,19750.0,0.03,,,0.001,0.3,,,72.1,1667554820.0,,,1667558757.0,,20598.160941441198,20603.127270793826,1667558761,3941.0,,,4.0
0,2022-11-5,20000.0,0.027,0.032,0.0005,0.0015,11.7,4.7,114.8,68.1,1667558758.0,1667558758.0,1667558759.0,1667558759.0,,20598.160941441198,20603.127270793826,1667558761,3.0,3.0,2.0,2.0
3,2022-11-5,20250.0,0.018,0.021,0.0025,0.003,5.3,3.4,2.9,47.2,1667558758.0,1667558758.0,1667558755.0,1667558755.0,,20598.160941441198,20603.127270793826,1667558761,3.0,3.0,6.0,6.0
4,2022-11-5,20500.0,0.0105,0.0115,0.0055,0.0065,15.1,7.6,6.4,26.2,1667558755.0,1667558755.0,1667558757.0,1667558757.0,,20598.160941441198,20603.127270793826,1667558761,6.0,6.0,4.0,4.0
2,2022-11-5,20750.0,0.005,0.006,0.0115,0.0125,3.1,69.1,13.0,0.9,1667558757.0,1667558757.0,1667558759.0,1667558759.0,,20598.160941441198,20603.127270793826,1667558761,4.0,4.0,2.0,2.0
5,2022-11-5,21000.0,0.002,0.0025,0.0185,0.0245,56.6,9.5,0.3,0.3,1667558752.0,1667558752.0,1667558754.0,1667558754.0,,20598.160941441198,20603.127270793826,1667558761,9.0,9.0,7.0,7.0
12,2022-11-5,21500.0,,0.001,0.0265,,,74.5,5.0,,,1667558757.0,1667548956.0,,,20598.160941441198,20603.127270793826,1667558761,,4.0,9805.0,
15,2022-11-5,22000.0,,0.0005,0.0505,,,51.6,4.0,,,1667558757.0,1667548956.0,,,20598.160941441198,20603.127270793826,1667558761,,4.0,9805.0,
14,2022-11-5,22500.0,,0.0005,0.0745,,,63.0,4.0,,,1667558757.0,1667548956.0,,,20598.160941441198,20603.127270793826,1667558761,,4.0,9805.0,
13,2022-11-5,23000.0,,0.0005,0.0985,,,34.1,4.0,,,1667558757.0,1667548956.0,,,20598.160941441198,20603.127270793826,1667558761,,4.0,9805.0,
