,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_market,S,F_calc,ts,age_cbid,age_cask,age_pbid,age_pask
14,2022-11-11,600.0,0.001,,,0.001,1.0,,,483.0,1667973896.0,,,1667973896.0,1301.55,1302.2862053446843,1307.5846104084758,1667973901,5.0,,,5.0
16,2022-11-11,800.0,0.001,,,0.0015,1.0,,,369.0,1667973896.0,,,1667973896.0,1301.55,1302.2862053446843,1307.5846104084758,1667973901,5.0,,,5.0
17,2022-11-11,900.0,0.001,,0.002,0.003,1.0,,72.0,369.0,1667973899.0,,1667973896.0,1667973896.0,1301.55,1302.2862053446843,1307.5846104084758,1667973901,2.0,,5.0,5.0
15,2022-11-11,1000.0,0.001,,0.004,0.005,1.0,,229.0,270.0,1667973896.0,,1667973896.0,1667973896.0,1301.55,1302.2862053446843,1307.5846104084758,1667973901,5.0,,5.0,5.0
23,2022-11-11,1100.0,,,0.0085,0.0095,,,414.0,132.0,,,1667973894.0,1667973894.0,1301.55,1302.2862053446843,1307.5846104084758,1667973901,,,7.0,7.0
8,2022-11-11,1150.0,0.001,,0.0125,0.0135,1.0,,339.0,142.0,1667973712.0,,1667973899.0,1667973899.0,1301.55,1302.2862053446843,1307.5846104084758,1667973901,189.0,,2.0,2.0
9,2022-11-11,1200.0,0.0805,0.103,0.0185,0.0195,80.0,80.0,80.0,112.0,1667973899.0,1667973899.0,1667973899.0,1667973899.0,1301.55,1302.2862053446843,1307.5846104084758,1667973901,2.0,2.0,2.0,2.0
5,2022-11-11,1250.0,0.066,0.0695,0.027,0.0285,89.0,217.0,160.0,125.0,1667973899.0,1667973899.0,1667973895.0,1667973895.0,1301.55,1302.2862053446843,1307.5846104084758,1667973901,2.0,2.0,6.0,6.0
2,2022-11-11,1300.0,0.042,0.0435,0.0405,0.042,88.0,209.0,109.0,193.0,1667973894.0,1667973894.0,1667973896.0,1667973896.0,1301.55,1302.2862053446843,1307.5846104084758,1667973901,7.0,7.0,5.0,5.0
10,2022-11-11,1350.0,0.0235,0.0245,0.0595,0.062,11.0,150.0,118.0,186.0,1667973898.0,1667973898.0,1667973895.0,1667973895.0,1301.55,1302.2862053446843,1307.5846104084758,1667973901,3.0,3.0,6.0,6.0
4,2022-11-11,1400.0,0.012,0.013,0.068,0.1075,1022.0,212.0,80.0,1.0,1667973899.0,1667973899.0,1667973899.0,1667973899.0,1301.55,1302.2862053446843,1307.5846104084758,1667973901,2.0,2.0,2.0,2.0
0,2022-11-11,1450.0,0.0065,0.007,0.109,0.121,876.0,193.0,14.0,14.0,1667973896.0,1667973896.0,1667973897.0,1667973897.0,1301.55,1302.2862053446843,1307.5846104084758,1667973901,5.0,5.0,4.0,4.0
13,2022-11-11,1500.0,0.0035,0.004,0.135,0.175,1070.0,122.0,50.0,275.0,1667973896.0,1667973896.0,1667973896.0,1667973896.0,1301.55,1302.2862053446843,1307.5846104084758,1667973901,5.0,5.0,5.0,5.0
7,2022-11-11,1550.0,0.002,0.0025,0.002,0.21,170.0,138.0,20.0,2.0,1667973895.0,1667973895.0,1667973896.0,1667973896.0,1301.55,1302.2862053446843,1307.5846104084758,1667973901,6.0,6.0,5.0,5.0
3,2022-11-11,1600.0,0.001,0.002,0.002,0.3495,154.0,112.0,20.0,1.0,1667973899.0,1667973899.0,1667973896.0,1667973896.0,1301.55,1302.2862053446843,1307.5846104084758,1667973901,2.0,2.0,5.0,5.0
6,2022-11-11,1650.0,0.0005,0.002,0.002,2.4,357.0,491.0,5.0,3.0,1667973898.0,1667973898.0,1667973896.0,1667973896.0,1301.55,1302.2862053446843,1307.5846104084758,1667973901,3.0,3.0,5.0,5.0
12,2022-11-11,1700.0,0.0005,0.0015,,,66.0,377.0,,,1667973896.0,1667973896.0,,,1301.55,1302.2862053446843,1307.5846104084758,1667973901,5.0,5.0,,
1,2022-11-11,1750.0,0.0005,0.0015,0.001,,1.0,336.0,1.0,,1667973898.0,1667973898.0,1667973896.0,,1301.55,1302.2862053446843,1307.5846104084758,1667973901,3.0,3.0,5.0,
11,2022-11-11,1800.0,0.0005,0.001,,,70.0,5.0,,,1667973896.0,1667973896.0,,,1301.55,1302.2862053446843,1307.5846104084758,1667973901,5.0,5.0,,
21,2022-11-11,1900.0,,0.001,0.001,,,57.0,1.0,,,1667973899.0,1667973895.0,,1301.55,1302.2862053446843,1307.5846104084758,1667973901,,2.0,6.0,
18,2022-11-11,2000.0,,0.0005,0.001,,,20.0,1.0,,,1667973896.0,1667973899.0,,1301.55,1302.2862053446843,1307.5846104084758,1667973901,,5.0,2.0,
22,2022-11-11,2200.0,,0.0005,0.001,,,60.0,1.0,,,1667973896.0,1667973899.0,,1301.55,1302.2862053446843,1307.5846104084758,1667973901,,5.0,2.0,
20,2022-11-11,2400.0,,0.0005,0.001,,,60.0,1.0,,,1667973896.0,1667973895.0,,1301.55,1302.2862053446843,1307.5846104084758,1667973901,,5.0,6.0,
19,2022-11-11,2600.0,,0.0005,0.001,,,386.0,1.0,,,1667973896.0,1667973895.0,,1301.55,1302.2862053446843,1307.5846104084758,1667973901,,5.0,6.0,
