,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_market,S,F_calc,ts,age_cbid,age_cask,age_pbid,age_pask
25,2023-1-27,600.0,,,0.0165,0.0175,,,70.0,153.0,,,1667973896.0,1667973896.0,,1302.2862053446843,1276.8746874160256,1667973901,,,5.0,5.0
24,2023-1-27,700.0,,,0.0245,0.0265,,,177.0,157.0,,,1667973891.0,1667973891.0,,1302.2862053446843,1276.8746874160256,1667973901,,,10.0,10.0
18,2023-1-27,800.0,0.034,0.5165,0.0365,0.038,1.0,20.0,209.0,130.0,1667973897.0,1667973897.0,1667973896.0,1667973896.0,,1302.2862053446843,1276.8746874160256,1667973901,4.0,4.0,5.0,5.0
23,2023-1-27,900.0,,0.4785,0.0525,0.0535,,22.0,70.0,23.0,,1667973899.0,1667973897.0,1667973897.0,,1302.2862053446843,1276.8746874160256,1667973901,,2.0,4.0,4.0
20,2023-1-27,1000.0,0.299,0.306,0.0725,0.0735,179.0,70.0,70.0,53.0,1667973899.0,1667973899.0,1667973891.0,1667973891.0,,1302.2862053446843,1276.8746874160256,1667973901,2.0,2.0,10.0,10.0
14,2023-1-27,1100.0,0.249,0.2625,0.098,0.099,175.0,70.0,82.0,43.0,1667973899.0,1667973899.0,1667973896.0,1667973896.0,,1302.2862053446843,1276.8746874160256,1667973901,2.0,2.0,5.0,5.0
0,2023-1-27,1200.0,0.204,0.215,0.1285,0.1305,175.0,70.0,109.0,64.0,1667973899.0,1667973899.0,1667973897.0,1667973897.0,,1302.2862053446843,1276.8746874160256,1667973901,2.0,2.0,4.0,4.0
7,2023-1-27,1300.0,0.1655,0.1685,0.1665,0.1685,142.0,108.0,93.0,137.0,1667973896.0,1667973896.0,1667973899.0,1667973899.0,,1302.2862053446843,1276.8746874160256,1667973901,5.0,5.0,2.0,2.0
2,2023-1-27,1400.0,0.1335,0.1355,0.2085,0.2125,92.0,122.0,179.0,39.0,1667973893.0,1667973893.0,1667973894.0,1667973894.0,,1302.2862053446843,1276.8746874160256,1667973901,8.0,8.0,7.0,7.0
12,2023-1-27,1500.0,0.107,0.1085,0.242,0.2665,70.0,115.0,70.0,171.0,1667973891.0,1667973891.0,1667973899.0,1667973899.0,,1302.2862053446843,1276.8746874160256,1667973901,10.0,10.0,2.0,2.0
10,2023-1-27,1600.0,0.085,0.087,0.3135,0.3235,77.0,158.0,175.0,175.0,1667973899.0,1667973899.0,1667973899.0,1667973899.0,,1302.2862053446843,1276.8746874160256,1667973901,2.0,2.0,2.0,2.0
19,2023-1-27,1700.0,0.0675,0.0695,0.3735,0.385,92.0,129.0,70.0,176.0,1667973897.0,1667973897.0,1667973899.0,1667973899.0,,1302.2862053446843,1276.8746874160256,1667973901,4.0,4.0,2.0,2.0
5,2023-1-27,1800.0,0.054,0.056,0.4,0.4485,93.0,178.0,70.0,171.0,1667973897.0,1667973897.0,1667973899.0,1667973899.0,,1302.2862053446843,1276.8746874160256,1667973901,4.0,4.0,2.0,2.0
9,2023-1-27,1900.0,0.0435,0.045,0.4845,0.515,70.0,104.0,70.0,213.0,1667973897.0,1667973897.0,1667973899.0,1667973899.0,,1302.2862053446843,1276.8746874160256,1667973901,4.0,4.0,2.0,2.0
8,2023-1-27,2000.0,0.0355,0.037,0.5155,0.5835,106.0,103.0,70.0,221.0,1667973899.0,1667973899.0,1667973899.0,1667973899.0,,1302.2862053446843,1276.8746874160256,1667973901,2.0,2.0,2.0,2.0
3,2023-1-27,2100.0,0.0285,0.03,,0.832,202.0,134.0,,22.0,1667973899.0,1667973899.0,,1667973899.0,,1302.2862053446843,1276.8746874160256,1667973901,2.0,2.0,,2.0
6,2023-1-27,2200.0,0.0235,0.025,,0.8965,105.0,127.0,,20.0,1667973896.0,1667973896.0,,1667973899.0,,1302.2862053446843,1276.8746874160256,1667973901,5.0,5.0,,2.0
11,2023-1-27,2300.0,0.0195,0.0205,,0.9625,105.0,22.0,,2.0,1667973896.0,1667973896.0,,1667973899.0,,1302.2862053446843,1276.8746874160256,1667973901,5.0,5.0,,2.0
1,2023-1-27,2400.0,0.0165,0.0175,,1.0295,70.0,139.0,,2.0,1667973899.0,1667973899.0,,1667973894.0,,1302.2862053446843,1276.8746874160256,1667973901,2.0,2.0,,7.0
4,2023-1-27,2500.0,0.0135,0.015,,,91.0,295.0,,,1667973899.0,1667973899.0,,,,1302.2862053446843,1276.8746874160256,1667973901,2.0,2.0,,
15,2023-1-27,2600.0,0.0115,0.0125,,,100.0,104.0,,,1667973899.0,1667973899.0,,,,1302.2862053446843,1276.8746874160256,1667973901,2.0,2.0,,
22,2023-1-27,2800.0,0.0085,0.0095,,,70.0,258.0,,,1667973899.0,1667973899.0,,,,1302.2862053446843,1276.8746874160256,1667973901,2.0,2.0,,
13,2023-1-27,3000.0,0.006,0.007,,,223.0,37.0,,,1667973897.0,1667973897.0,,,,1302.2862053446843,1276.8746874160256,1667973901,4.0,4.0,,
16,2023-1-27,3200.0,0.0045,0.0055,,,164.0,106.0,,,1667973896.0,1667973896.0,,,,1302.2862053446843,1276.8746874160256,1667973901,5.0,5.0,,
21,2023-1-27,3400.0,0.004,0.0045,,,13.0,321.0,,,1667973896.0,1667973896.0,,,,1302.2862053446843,1276.8746874160256,1667973901,5.0,5.0,,
17,2023-1-27,3600.0,0.0025,0.0035,,,172.0,326.0,,,1667973896.0,1667973896.0,,,,1302.2862053446843,1276.8746874160256,1667973901,5.0,5.0,,
