,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_market,S,F_calc,ts,age_cbid,age_cask,age_pbid,age_pask
25,2023-9-29,200.0,,,0.002,0.021,,,11.0,77.0,,,1667973896.0,1667973896.0,1296.7,1302.1464338585192,1008.4063780535859,1667973902,,,6.0,6.0
24,2023-9-29,300.0,,,0.0105,0.019,,,72.0,95.0,,,1667973896.0,1667973896.0,1296.7,1302.1464338585192,1008.4063780535859,1667973902,,,6.0,6.0
26,2023-9-29,400.0,,,0.024,0.0465,,,100.0,168.0,,,1667973896.0,1667973896.0,1296.7,1302.1464338585192,1008.4063780535859,1667973902,,,6.0,6.0
23,2023-9-29,500.0,,,0.041,0.0645,,,100.0,165.0,,,1667973891.0,1667973891.0,1296.7,1302.1464338585192,1008.4063780535859,1667973902,,,11.0,11.0
21,2023-9-29,600.0,,0.7745,0.0615,0.071,,2.0,100.0,110.0,,1667973896.0,1667973896.0,1667973896.0,1296.7,1302.1464338585192,1008.4063780535859,1667973902,,6.0,6.0,6.0
22,2023-9-29,700.0,,0.753,0.086,0.112,,2.0,100.0,161.0,,1667973899.0,1667973897.0,1667973897.0,1296.7,1302.1464338585192,1008.4063780535859,1667973902,,3.0,5.0,5.0
19,2023-9-29,800.0,,0.733,0.1145,0.1415,,2.0,100.0,160.0,,1667973899.0,1667973897.0,1667973897.0,1296.7,1302.1464338585192,1008.4063780535859,1667973902,,3.0,5.0,5.0
16,2023-9-29,900.0,,0.715,0.1475,0.175,,2.0,100.0,159.0,,1667973899.0,1667973892.0,1667973892.0,1296.7,1302.1464338585192,1008.4063780535859,1667973902,,3.0,10.0,10.0
20,2023-9-29,1000.0,,0.698,0.184,0.212,,2.0,100.0,158.0,,1667973899.0,1667973897.0,1667973897.0,1296.7,1302.1464338585192,1008.4063780535859,1667973902,,3.0,5.0,5.0
18,2023-9-29,1100.0,,0.6825,0.2235,0.253,,2.0,157.0,157.0,,1667973899.0,1667973897.0,1667973897.0,1296.7,1302.1464338585192,1008.4063780535859,1667973902,,3.0,5.0,5.0
17,2023-9-29,1200.0,,0.6675,0.2675,0.2975,,2.0,157.0,157.0,,1667973896.0,1667973897.0,1667973897.0,1296.7,1302.1464338585192,1008.4063780535859,1667973902,,6.0,5.0,5.0
15,2023-9-29,1300.0,0.3135,0.342,0.3145,0.345,57.0,57.0,157.0,157.0,1667973897.0,1667973897.0,1667973897.0,1667973897.0,1296.7,1302.1464338585192,1008.4063780535859,1667973902,5.0,5.0,5.0,5.0
1,2023-9-29,1400.0,0.2865,0.315,0.2175,0.5525,57.0,57.0,117.0,100.0,1667973897.0,1667973897.0,1667973897.0,1667973897.0,1296.7,1302.1464338585192,1008.4063780535859,1667973902,5.0,5.0,5.0,5.0
0,2023-9-29,1500.0,0.263,0.291,0.2435,0.785,57.0,57.0,100.0,2.0,1667973897.0,1667973897.0,1667973897.0,1667973897.0,1296.7,1302.1464338585192,1008.4063780535859,1667973902,5.0,5.0,5.0,5.0
5,2023-9-29,1600.0,0.2415,0.2695,0.2835,0.8505,158.0,158.0,100.0,2.0,1667973897.0,1667973897.0,1667973897.0,1667973897.0,1296.7,1302.1464338585192,1008.4063780535859,1667973902,5.0,5.0,5.0,5.0
12,2023-9-29,1700.0,0.2225,0.25,0.327,0.917,158.0,100.0,100.0,2.0,1667973892.0,1667973892.0,1667973899.0,1667973899.0,1296.7,1302.1464338585192,1008.4063780535859,1667973902,10.0,10.0,3.0,3.0
11,2023-9-29,1800.0,0.2055,0.2325,0.3735,0.9835,100.0,100.0,100.0,2.0,1667973899.0,1667973899.0,1667973898.0,1667973898.0,1296.7,1302.1464338585192,1008.4063780535859,1667973902,3.0,3.0,4.0,4.0
14,2023-9-29,1900.0,0.19,0.217,0.422,1.051,100.0,159.0,100.0,2.0,1667973899.0,1667973899.0,1667973899.0,1667973899.0,1296.7,1302.1464338585192,1008.4063780535859,1667973902,3.0,3.0,3.0,3.0
