,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_market,S,F_calc,ts,age_cbid,age_cask,age_pbid,age_pask
36,2022-12-30,300.0,,,0.0015,0.002,,,2.0,49.0,,,1667973896.0,1667973896.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,,,5.0,5.0
37,2022-12-30,400.0,,,0.003,0.004,,,50.0,549.0,,,1667973896.0,1667973896.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,,,5.0,5.0
34,2022-12-30,500.0,,,0.0055,0.007,,,55.0,508.0,,,1667973896.0,1667973896.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,,,5.0,5.0
12,2022-12-30,600.0,0.045,,0.0095,0.011,1.0,,257.0,630.0,1667973896.0,,1667973896.0,1667973896.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,5.0,,5.0,5.0
38,2022-12-30,700.0,,,0.016,0.0165,,,72.0,72.0,,,1667973893.0,1667973893.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,,,8.0,8.0
35,2022-12-30,800.0,,,0.0245,0.0255,,,167.0,106.0,,,1667973866.0,1667973866.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,,,35.0,35.0
33,2022-12-30,900.0,,0.428,0.037,0.038,,20.0,89.0,94.0,,1667973897.0,1667973893.0,1667973893.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,,4.0,8.0,8.0
32,2022-12-30,1000.0,,0.3875,0.0535,0.0545,,1.0,70.0,52.0,,1667973897.0,1667973895.0,1667973895.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,,4.0,6.0,6.0
4,2022-12-30,1100.0,0.2205,0.231,0.0755,0.076,80.0,85.0,79.0,38.0,1667973895.0,1667973895.0,1667973892.0,1667973892.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,6.0,6.0,9.0,9.0
5,2022-12-30,1200.0,0.1625,0.1825,0.103,0.104,1.0,1.0,99.0,79.0,1667973899.0,1667973899.0,1667973896.0,1667973896.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,2.0,2.0,5.0,5.0
2,2022-12-30,1300.0,0.137,0.139,0.1375,0.139,119.0,121.0,93.0,183.0,1667973896.0,1667973896.0,1667973896.0,1667973896.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,5.0,5.0,5.0,5.0
1,2022-12-30,1400.0,0.1025,0.104,0.1775,0.181,22.0,141.0,109.0,107.0,1667973898.0,1667973898.0,1667973895.0,1667973895.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,3.0,3.0,6.0,6.0
7,2022-12-30,1500.0,0.0755,0.0765,0.2055,0.271,94.0,146.0,1.0,1.0,1667973898.0,1667973898.0,1667973898.0,1667973898.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,3.0,3.0,3.0,3.0
15,2022-12-30,1600.0,0.0545,0.056,0.2855,0.3185,258.0,142.0,3.0,84.0,1667973898.0,1667973898.0,1667973896.0,1667973896.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,3.0,3.0,5.0,5.0
0,2022-12-30,1700.0,0.04,0.0415,0.2795,0.3915,256.0,148.0,1.0,1.0,1667973893.0,1667973893.0,1667973895.0,1667973895.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,8.0,8.0,6.0,6.0
6,2022-12-30,1800.0,0.0295,0.0305,0.3675,0.5,318.0,93.0,70.0,1.0,1667973898.0,1667973898.0,1667973895.0,1667973895.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,3.0,3.0,6.0,6.0
3,2022-12-30,1900.0,0.022,0.023,,0.632,278.0,71.0,,2.0,1667973897.0,1667973897.0,,1667973899.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,4.0,4.0,,2.0
21,2022-12-30,2000.0,0.017,0.018,0.333,0.688,150.0,149.0,1.0,1.0,1667973897.0,1667973897.0,1667973899.0,1667973899.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,4.0,4.0,2.0,2.0
18,2022-12-30,2100.0,0.013,0.014,,0.76,271.0,138.0,,2.0,1667973882.0,1667973882.0,,1667973899.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,19.0,19.0,,2.0
19,2022-12-30,2200.0,0.01,0.011,,,291.0,70.0,,,1667973889.0,1667973889.0,,,1299.65,1302.2862053446843,1297.9753854823134,1667973901,12.0,12.0,,
16,2022-12-30,2400.0,0.006,0.007,,,660.0,70.0,,,1667973897.0,1667973897.0,,,1299.65,1302.2862053446843,1297.9753854823134,1667973901,4.0,4.0,,
17,2022-12-30,2500.0,0.005,0.0065,0.015,,231.0,678.0,20.0,,1667973898.0,1667973898.0,1667973899.0,,1299.65,1302.2862053446843,1297.9753854823134,1667973901,3.0,3.0,2.0,
20,2022-12-30,2600.0,0.004,0.005,,,297.0,84.0,,,1667973898.0,1667973898.0,,,1299.65,1302.2862053446843,1297.9753854823134,1667973901,3.0,3.0,,
10,2022-12-30,2800.0,0.0025,0.0035,,,150.0,210.0,,,1667973896.0,1667973896.0,,,1299.65,1302.2862053446843,1297.9753854823134,1667973901,5.0,5.0,,
11,2022-12-30,3000.0,0.0015,0.0025,1.1115,1.518,1400.0,99.0,1.0,1.0,1667973896.0,1667973896.0,1667973899.0,1667973899.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,5.0,5.0,2.0,2.0
13,2022-12-30,3200.0,0.0015,0.002,,,24.0,50.0,,,1667973896.0,1667973896.0,,,1299.65,1302.2862053446843,1297.9753854823134,1667973901,5.0,5.0,,
9,2022-12-30,3500.0,0.001,0.0015,0.01,,1375.0,1.0,2.0,,1667973896.0,1667973896.0,1667973899.0,,1299.65,1302.2862053446843,1297.9753854823134,1667973901,5.0,5.0,2.0,
14,2022-12-30,4000.0,0.0005,0.0015,1.8825,2.2695,51.0,368.0,1.0,1.0,1667973896.0,1667973896.0,1667973899.0,1667973899.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,5.0,5.0,2.0,2.0
8,2022-12-30,4500.0,0.0005,0.0015,,,50.0,518.0,,,1667973896.0,1667973896.0,,,1299.65,1302.2862053446843,1297.9753854823134,1667973901,5.0,5.0,,
26,2022-12-30,5000.0,,0.001,,,,368.0,,,,1667973896.0,,,1299.65,1302.2862053446843,1297.9753854823134,1667973901,,5.0,,
28,2022-12-30,5500.0,,0.001,,,,414.0,,,,1667973896.0,,,1299.65,1302.2862053446843,1297.9753854823134,1667973901,,5.0,,
30,2022-12-30,6000.0,,0.001,,,,368.0,,,,1667973896.0,,,1299.65,1302.2862053446843,1297.9753854823134,1667973901,,5.0,,
27,2022-12-30,7000.0,,0.001,,,,518.0,,,,1667973896.0,,,1299.65,1302.2862053446843,1297.9753854823134,1667973901,,5.0,,
31,2022-12-30,8000.0,,0.001,2.0,5.3,,518.0,1.0,4.0,,1667973896.0,1667973895.0,1667973895.0,1299.65,1302.2862053446843,1297.9753854823134,1667973901,,5.0,6.0,6.0
24,2022-12-30,10000.0,,0.0005,,,,18.0,,,,1667973896.0,,,1299.65,1302.2862053446843,1297.9753854823134,1667973901,,5.0,,
22,2022-12-30,15000.0,,0.001,,,,518.0,,,,1667973896.0,,,1299.65,1302.2862053446843,1297.9753854823134,1667973901,,5.0,,
23,2022-12-30,20000.0,,0.001,,,,518.0,,,,1667973896.0,,,1299.65,1302.2862053446843,1297.9753854823134,1667973901,,5.0,,
25,2022-12-30,30000.0,,0.001,,,,377.0,,,,1667973899.0,,,1299.65,1302.2862053446843,1297.9753854823134,1667973901,,2.0,,
29,2022-12-30,40000.0,,0.001,0.0005,,,368.0,1.0,,,1667973896.0,1667973898.0,,1299.65,1302.2862053446843,1297.9753854823134,1667973901,,5.0,3.0,
