,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_market,S,F_calc,ts,age_cbid,age_cask,age_pbid,age_pask
31,2023-6-30,100.0,,,0.0005,0.007,,,3.0,155.0,,,1667973896.0,1667973896.0,1298.35,1302.1946074249665,1173.268699809334,1667973901,,,5.0,5.0
30,2023-6-30,200.0,,,0.0015,0.013,,,138.0,138.0,,,1667973896.0,1667973896.0,1298.35,1302.1946074249665,1173.268699809334,1667973901,,,5.0,5.0
29,2023-6-30,300.0,,,0.0085,0.02,,,128.0,1.0,,,1667973897.0,1667973897.0,1298.35,1302.1946074249665,1173.268699809334,1667973901,,,4.0,4.0
32,2023-6-30,400.0,,,0.0185,0.03,,,120.0,1.0,,,1667973896.0,1667973896.0,1298.35,1302.1946074249665,1173.268699809334,1667973901,,,5.0,5.0
33,2023-6-30,500.0,,,0.032,0.045,,,100.0,215.0,,,1667973897.0,1667973897.0,1298.35,1302.1946074249665,1173.268699809334,1667973901,,,4.0,4.0
28,2023-6-30,600.0,,0.7265,0.0475,0.062,,2.0,100.0,210.0,,1667973896.0,1667973897.0,1667973897.0,1298.35,1302.1946074249665,1173.268699809334,1667973901,,5.0,4.0,4.0
27,2023-6-30,700.0,,0.699,0.0675,0.0825,,2.0,100.0,206.0,,1667973897.0,1667973896.0,1667973896.0,1298.35,1302.1946074249665,1173.268699809334,1667973901,,4.0,5.0,5.0
24,2023-6-30,800.0,,0.674,0.091,0.106,,2.0,100.0,100.0,,1667973899.0,1667973897.0,1667973897.0,1298.35,1302.1946074249665,1173.268699809334,1667973901,,2.0,4.0,4.0
25,2023-6-30,900.0,,0.6,0.1185,0.135,,1.0,100.0,201.0,,1667973899.0,1667973897.0,1667973897.0,1298.35,1302.1946074249665,1173.268699809334,1667973901,,2.0,4.0,4.0
15,2023-6-30,1000.0,0.01,0.63,0.1565,0.1675,200.0,2.0,130.0,199.0,1667973899.0,1667973899.0,1667973897.0,1667973897.0,1298.35,1302.1946074249665,1173.268699809334,1667973901,2.0,2.0,4.0,4.0
26,2023-6-30,1100.0,,0.6105,0.192,0.2045,,2.0,110.0,198.0,,1667973899.0,1667973897.0,1667973897.0,1298.35,1302.1946074249665,1173.268699809334,1667973901,,2.0,4.0,4.0
23,2023-6-30,1200.0,,0.5925,0.233,0.2445,,2.0,110.0,100.0,,1667973899.0,1667973897.0,1667973897.0,1298.35,1302.1946074249665,1173.268699809334,1667973901,,2.0,4.0,4.0
17,2023-6-30,1300.0,0.2705,0.288,0.2715,0.29,97.0,97.0,100.0,197.0,1667973897.0,1667973897.0,1667973896.0,1667973896.0,1298.35,1302.1946074249665,1173.268699809334,1667973901,4.0,4.0,5.0,5.0
