,maturity,K,cbid,cask,pbid,pask,qty_cbid,qty_cask,qty_pbid,qty_pask,ts_cbid,ts_cask,ts_pbid,ts_pask,F_market,S,F_calc,ts,age_cbid,age_cask,age_pbid,age_pask
43,2023-3-31,200.0,,,0.0035,0.005,,,39.0,234.0,,,1667973897.0,1667973897.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,,,4.0,4.0
31,2023-3-31,300.0,0.0005,,0.008,0.0095,1.0,,27.0,34.0,1667973896.0,,1667973896.0,1667973896.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,5.0,,5.0,5.0
27,2023-3-31,400.0,0.1,,0.0135,0.0165,1.0,,163.0,251.0,1667973896.0,,1667973896.0,1667973896.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,5.0,,5.0,5.0
25,2023-3-31,500.0,0.01,,0.0225,0.0245,300.0,,124.0,243.0,1667973896.0,,1667973896.0,1667973896.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,5.0,,5.0,5.0
24,2023-3-31,600.0,0.0005,,0.0335,0.035,500.0,,91.0,128.0,1667973896.0,,1667973891.0,1667973891.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,5.0,,10.0,10.0
37,2023-3-31,700.0,0.0005,0.6265,0.0475,0.049,1.0,20.0,70.0,107.0,1667973896.0,1667973896.0,1667973896.0,1667973896.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,5.0,5.0,5.0,5.0
29,2023-3-31,800.0,0.0005,0.593,0.065,0.0675,500.0,20.0,89.0,273.0,1667973896.0,1667973896.0,1667973898.0,1667973898.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,5.0,5.0,3.0,3.0
15,2023-3-31,900.0,0.05,0.5635,0.0855,0.0885,1.0,2.0,243.0,112.0,1667973899.0,1667973899.0,1667973895.0,1667973895.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,2.0,2.0,6.0,6.0
32,2023-3-31,1000.0,0.34,0.3455,0.1115,0.1155,202.0,100.0,229.0,254.0,1667973896.0,1667973896.0,1667973895.0,1667973895.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,5.0,5.0,6.0,6.0
26,2023-3-31,1100.0,0.294,0.299,0.1425,0.1455,203.0,100.0,91.0,128.0,1667973898.0,1667973898.0,1667973893.0,1667973893.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,3.0,3.0,8.0,8.0
34,2023-3-31,1200.0,0.254,0.2585,0.1785,0.1825,85.0,216.0,98.0,255.0,1667973898.0,1667973898.0,1667973899.0,1667973899.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,3.0,3.0,2.0,2.0
3,2023-3-31,1300.0,0.2175,0.2205,0.216,0.222,110.0,135.0,70.0,135.0,1667973896.0,1667973896.0,1667973898.0,1667973898.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,5.0,5.0,3.0,3.0
12,2023-3-31,1400.0,0.1855,0.1895,0.263,0.268,166.0,205.0,70.0,78.0,1667973896.0,1667973896.0,1667973895.0,1667973895.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,5.0,5.0,6.0,6.0
19,2023-3-31,1500.0,0.159,0.162,0.31,0.3225,143.0,196.0,227.0,207.0,1667973899.0,1667973899.0,1667973893.0,1667973893.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,2.0,2.0,8.0,8.0
20,2023-3-31,1600.0,0.136,0.138,0.366,0.3755,29.0,80.0,70.0,171.0,1667973896.0,1667973896.0,1667973898.0,1667973898.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,5.0,5.0,3.0,3.0
30,2023-3-31,1700.0,0.116,0.1185,0.423,0.436,138.0,84.0,70.0,217.0,1667973896.0,1667973896.0,1667973896.0,1667973896.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,5.0,5.0,5.0,5.0
23,2023-3-31,1800.0,0.1,0.1015,0.4815,0.5555,15.0,78.0,175.0,120.0,1667973898.0,1667973898.0,1667973898.0,1667973898.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,3.0,3.0,3.0,3.0
1,2023-3-31,1900.0,0.086,0.088,0.5035,0.5615,19.0,91.0,73.0,231.0,1667973891.0,1667973891.0,1667973899.0,1667973899.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,10.0,10.0,2.0,2.0
33,2023-3-31,2000.0,0.0745,0.0765,0.562,0.6245,94.0,91.0,76.0,217.0,1667973896.0,1667973896.0,1667973899.0,1667973899.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,5.0,5.0,2.0,2.0
9,2023-3-31,2100.0,0.065,0.067,0.6765,0.6875,87.0,97.0,185.0,70.0,1667973896.0,1667973896.0,1667973899.0,1667973899.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,5.0,5.0,2.0,2.0
18,2023-3-31,2200.0,0.0565,0.0585,0.744,0.7575,191.0,95.0,225.0,70.0,1667973897.0,1667973897.0,1667973899.0,1667973899.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,4.0,4.0,2.0,2.0
11,2023-3-31,2300.0,0.0495,0.0515,0.816,0.8305,349.0,88.0,70.0,217.0,1667973896.0,1667973896.0,1667973898.0,1667973898.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,5.0,5.0,3.0,3.0
28,2023-3-31,2400.0,0.044,0.046,0.8045,0.9835,89.0,102.0,71.0,71.0,1667973899.0,1667973899.0,1667973898.0,1667973898.0,1298.0,1302.2862053446843,1243.1217583344082,1667973901,2.0,2.0,3.0,3.0
